InChIKey14,DrugName,DrugID,Source,DrugName_Normalized
XEEQGYMUWCZPDN,(+)-Mefloquine,0,Drug_A,(+)-mefloquine
NOOLISFMXDJSKH,(+)-menthol,1,Drug_A,(+)-menthol
MUMGGOZAMZWBJJ,"(1,2,6,7-3H)Testosterone",2,Drug_A,"(1,2,6,7-3h)testosterone"
AELCINSCMGFISI,"(1R,2S)-2-Phenylcyclopropanaminium",3,Drug_A,"(1r,2s)-2-phenylcyclopropanaminium"
QGJUIPDUBHWZPV,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",4,Drug_A,"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile"
VLPIATFUUWWMKC,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",5,Drug_A,"(2r)-1-(2,6-dimethylphenoxy)propan-2-amine"
PHIQHXFUZVPYII,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,6,Drug_A,(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium
GXPHKUHSUJUWKP,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",7,Drug_A,"(5r)-5-(4-{[(2r)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2h-chromen-2-yl]methoxy}benzyl)-1,3-thiazolidine-2,4-dione"
VVIAGPKUTFNRDU,(6R)-Folinic acid,8,Drug_A,(6r)-folinic acid
MSTNYGQPCMXVAQ,"(6S)-5,6,7,8-tetrahydrofolic acid",9,Drug_A,"(6s)-5,6,7,8-tetrahydrofolic acid"
METKIMKYRPQLGS,(R)-Atenolol,10,Drug_A,(r)-atenolol
LKJPYSCBVHEWIU,(R)-Bicalutamide,11,Drug_A,(r)-bicalutamide
RTHCYVBBDHJXIQ,(R)-Fluoxetine,12,Drug_A,(r)-fluoxetine
QBKSWRVVCFFDOT,(R)-Gossypol,13,Drug_A,(r)-gossypol
FSVJFNAIGNNGKK,(R)-Praziquantel,14,Drug_A,(r)-praziquantel
JWHAUXFOSRPERK,(R)-Propafenone,15,Drug_A,(r)-propafenone
HJORMJIFDVBMOB,(R)-Rolipram,16,Drug_A,(r)-rolipram
NNYBQONXHNTVIJ,(R)-etodolac,17,Drug_A,(r)-etodolac
PJVWKTKQMONHTI,(R)-warfarin,18,Drug_A,(r)-warfarin
NDDAHWYSQHTHNT,(S)-Indapamide,19,Drug_A,(s)-indapamide
LEZWWPYKPKIXLL,(S)-econazole,20,Drug_A,(s)-econazole
DGEZNRSVGBDHLK,"1,10-Phenanthroline",21,Drug_A,"1,10-phenanthroline"
SVUOLADPCWQTTE,"1,2-Benzodiazepine",22,Drug_A,"1,2-benzodiazepine"
XPYBSIWDXQFNMH,"1,6-Fructose Diphosphate (Linear Form)",23,Drug_B,"1,6-fructose diphosphate (linear form)"
BVURVTVDNWSNFN,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,24,Drug_A,1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine
ADEBPBSSDYVVLD,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",25,Drug_A,"1-benzyl-4-[(5,6-dimethoxy-1-indanon-2-yl)methyl]piperidine"
OKJCFMUGMSVJBG,1-Testosterone,26,Drug_A,1-testosterone
KKKDZZRICRFGSD,1-benzylimidazole,27,Drug_A,1-benzylimidazole
LXBIFEVIBLOUGU,1-deoxymannojirimycin,28,Drug_A,1-deoxymannojirimycin
HAWSQZCWOQZXHI,10-hydroxycamptothecin,29,Drug_A,10-hydroxycamptothecin
CWVMWSZEMZOUPC,16-Bromoepiandrosterone,30,Drug_A,16-bromoepiandrosterone
PROQIPRRNZUXQM,17alpha-Estriol,31,Drug_A,17alpha-estriol
FBYZQDCRLYHHHP,18-methyl-19-nortestosterone,32,Drug_A,18-methyl-19-nortestosterone
JRIZOGLBRPZBLQ,19-norandrostenedione,33,Drug_A,19-norandrostenedione
ODZFJAXAEXQSKL,"1alpha,24S-Dihydroxyvitamin D2",34,Drug_A,"1alpha,24s-dihydroxyvitamin d2"
NWFOBODUYTUMNC,1alpha-Hydroxyvitamin D5,35,Drug_A,1alpha-hydroxyvitamin d5
IEDVJHCEMCRBQM,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",36,Drug_A,"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium"
ZOBPZXTWZATXDG,"2,4-thiazolidinedione",37,Drug_A,"2,4-thiazolidinedione"
HXJKWPGVENNMCC,"2,5-Dimethoxy-4-ethylamphetamine",38,Drug_A,"2,5-dimethoxy-4-ethylamphetamine"
MCYCODJKXUJSAT,"2,5-Dimethoxy-4-ethylthioamphetamine",39,Drug_A,"2,5-dimethoxy-4-ethylthioamphetamine"
FLYGLPYJEQPCFY,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,40,Drug_A,2-(4-chlorophenyl)-5-quinoxalinecarboxamide
HBUBKKRHXORPQB,2-Fluoroadenosine,41,Drug_A,2-fluoroadenosine
CQOQDQWUFQDJMK,2-Methoxyestradiol,42,Drug_A,2-methoxyestradiol
XNWFRZJHXBZDAG,2-Methoxyethanol,43,Drug_B,2-methoxyethanol
JIVPVXMEBJLZRO,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,44,Drug_A,2-chloro-5-[(1s)-1-hydroxy-3-oxo-2h-isoindol-1-yl]benzenesulfonamide
HYHJFNXFVPGMBI,2-chloroethyl-3-sarcosinamide-1-nitrosourea,45,Drug_A,2-chloroethyl-3-sarcosinamide-1-nitrosourea
LPUNEQQTZOWCNO,25-desacetylrifapentine,46,Drug_A,25-desacetylrifapentine
YQUVCSBJEUQKSH,"3,4-Dihydroxybenzoic Acid",47,Drug_A,"3,4-dihydroxybenzoic acid"
NYPYHUZRZVSYKL,"3,5-Diiodotyrosine",48,Drug_A,"3,5-diiodotyrosine"
VDCDWNDTNSWDFJ,"3,5-Dinitrocatechol",49,Drug_B,"3,5-dinitrocatechol"
WONYMNWUJVKVII,"3,5-diiodothyropropionic acid",50,Drug_B,"3,5-diiodothyropropionic acid"
APIXJSLKIYYUKG,3-isobutyl-1-methyl-7H-xanthine,51,Drug_A,3-isobutyl-1-methyl-7h-xanthine
FXMWUTGUCAKGQL,"4-Bromo-2,5-dimethoxyamphetamine",52,Drug_A,"4-bromo-2,5-dimethoxyamphetamine"
YMHOBZXQZVXHBM,"4-Bromo-2,5-dimethoxyphenethylamine",53,Drug_A,"4-bromo-2,5-dimethoxyphenethylamine"
BQOIJSIMMIDHMO,4-Hydroxytestosterone,54,Drug_A,4-hydroxytestosterone
NEGYEDYHPHMHGK,4-Methoxyamphetamine,55,Drug_A,4-methoxyamphetamine
PLIUCYCUYQIBDZ,4-Oxoretinol,56,Drug_A,4-oxoretinol
VXIXUWQIVKSKSA,4-hydroxycoumarin,57,Drug_A,4-hydroxycoumarin
BDVFVCGFMNCYPV,5-(2-methylpiperazine-1-sulfonyl)isoquinoline,58,Drug_A,5-(2-methylpiperazine-1-sulfonyl)isoquinoline
SQGZFRITSMYKRH,5-androstenedione,59,Drug_B,5-androstenedione
FHIDNBAQOFJWCA,5-fluorouridine,60,Drug_A,5-fluorouridine
