DrugID_1,DrugID_2
483,2268
1138,1756
1066,2777
296,678
989,1694
934,2447
158,937
311,782
207,2263
343,761
1200,2521
1916,2709
2610,2847
2352,2897
2205,3158
900,1794
3164,1406
335,1240
1615,2782
470,3155
562,2449
625,1462
156,1519
2107,2985
77,2433
2879,3005
2460,3130
1148,3146
275,1942
1715,2278
982,1023
1056,2874
543,2660
2223,2807
664,792
1756,2512
1458,1905
651,1429
1470,2405
1960,2213
2048,2178
333,1980
781,1677
96,2429
282,915
807,1095
1680,1736
1671,2448
1394,1709
2065,3033
1024,1036
2223,2801
2279,3036
1864,2951
1834,2529
1628,3094
1333,1801
834,1144
1114,2781
766,2263
358,1186
931,1053
992,3093
2119,2413
381,2042
1768,2434
925,1890
331,1960
1712,3123
1190,2672
388,2235
1711,2560
644,2295
2421,3025
197,223
1362,1365
585,3007
219,1241
1429,2845
2069,3021
1171,1608
1348,1512
777,1984
219,2254
445,1554
269,2498
2271,2919
275,1401
1375,2816
684,1527
452,733
1303,2923
1330,2904
3124,3161
955,2213
145,468
568,1172
1519,3019
1902,2808
591,2398
1403,1423
1842,2514
2071,3153
96,224
569,1733
1113,1257
142,1476
95,2542
3,1612
929,2282
1510,1930
358,1758
321,2593
1006,1840
2160,2302
221,466
610,1476
388,2267
1946,2534
2433,2809
1141,1514
488,2491
545,2374
895,1825
417,2518
1468,2692
502,1611
104,2516
36,1259
1288,2221
577,1915
1415,2271
406,1351
1958,2799
4,2691
1151,2518
500,3106
285,2912
761,2140
803,2469
2051,2239
1678,2689
2670,3049
193,1348
163,2635
6,1074
1287,2444
631,644
365,908
262,1056
139,269
339,2117
2200,2908
767,832
358,1465
1726,2845
1067,2213
1644,2107
192,357
526,1751
1555,1846
576,1659
102,2868
99,2381
741,2351
479,1685
2012,2787
1740,2083
881,1719
847,1470
720,766
867,1190
1165,2337
373,2855
192,1863
929,1118
108,967
723,3139
1539,1970
2072,2971
986,2885
2061,2624
1066,1233
1898,2735
2197,2256
777,2670
864,1051
2111,2199
1366,1475
1362,2658
1305,1334
395,1898
24,302
136,1198
1465,2154
224,3088
1036,2118
1627,1857
837,2197
66,834
917,2770
1123,2440
648,2545
1036,1936
103,2691
142,1501
1396,2332
1297,1931
939,1209
1803,2721
104,1412
1696,2412
2267,2950
2213,2921
861,2008
2264,2359
482,2988
1630,2961
1643,2421
2012,2940
197,726
234,2372
61,2317
1854,2349
450,2671
94,564
1203,2767
478,2434
975,3043
187,1136
867,2066
422,2679
2133,2257
2192,2254
858,1950
1423,2363
2085,2923
39,2843
780,2242
1357,1879
2533,2717
2113,2721
690,763
168,1180
1037,1885
1129,2931
1395,2442
119,1931
1875,2584
662,1404
1854,2084
205,726
1647,2252
1849,3123
171,1339
1721,1859
2731,2838
931,2219
19,2873
287,1276
1452,1673
903,1163
179,606
383,669
2319,2641
963,2947
1697,1698
1864,2196
1497,2619
2644,3065
683,800
2407,2710
339,1942
1089,1970
1475,2850
1568,2584
2367,2494
2873,3093
1108,1225
1623,2163
15,2845
1213,2514
1533,2233
1591,1761
423,1942
380,798
1058,2315
119,2657
98,3017
1063,2047
171,1320
2787,3071
215,425
792,2985
1288,2402
1591,2046
63,1446
1182,1265
344,2309
908,2252
669,2257
357,1726
1011,1894
1946,2349
1943,2069
2958,3104
523,1372
1594,2019
437,2378
488,2446
837,2263
908,1402
68,1071
257,3007
1265,1897
928,2495
533,3104
3,662
913,2858
1138,2084
1062,3068
92,2334
301,1954
1191,2421
981,2678
604,2283
1583,2180
302,1556
479,723
768,3151
168,1349
663,744
2560,2587
970,2939
2433,2839
1970,2173
165,1196
44,1075
124,777
2317,2499
1600,2804
250,2682
757,1053
64,901
2877,2892
3,2892
1866,2434
893,1901
284,487
1146,1501
2494,2737
2584,3071
2013,2949
295,1369
411,1582
1323,2998
483,2310
530,1152
394,660
648,2688
1194,1614
167,3130
145,387
254,2069
603,2289
151,2486
550,1890
1519,2605
2531,2923
2512,3083
1254,1531
153,2378
2094,2305
606,894
2062,2737
733,2254
1712,2627
283,2984
1214,1401
674,1857
237,543
1496,1739
695,1821
1674,3002
1712,3014
1080,2458
383,2429
178,1659
869,1533
481,2631
651,2031
252,3007
64,1939
2824,2999
794,1579
238,2172
474,3096
145,2843
1851,2257
69,1160
1838,2215
2715,2878
1058,2825
903,1731
2424,2582
506,2196
914,2834
1489,1648
1242,2445
2543,2955
1706,1861
407,533
1711,2999
941,2870
458,2555
1301,3080
358,1552
2471,2831
18,408
846,955
302,1787
617,2221
448,2138
1416,3148
929,1736
2083,2167
1450,2278
1045,2856
1225,1381
1402,2375
430,1180
559,2287
1136,2803
10,2722
989,1769
869,1395
1557,2236
1513,3026
420,860
1820,2223
1284,2539
492,1146
1852,2195
1164,3057
1051,2718
1935,2998
1959,3153
941,2909
3164,699
1501,2834
448,2195
1225,1903
1305,1890
1246,3161
481,2443
2166,2735
382,2829
402,3165
1247,1568
81,2728
1492,1972
1902,2648
2853,3074
603,1797
2219,3145
2221,2226
450,2012
429,712
214,308
1350,1873
1315,1924
460,2800
402,1141
993,3103
2376,2755
341,1319
188,3011
1568,2320
649,2237
1181,2985
1051,2600
3,483
1811,2329
957,3156
2455,2800
927,2613
214,246
715,1164
2046,2285
417,2800
1617,2005
1682,2565
70,130
925,2199
188,1375
674,1266
286,2935
2528,2908
1414,3097
282,864
1173,2138
753,2307
524,1162
1030,1263
761,792
583,2619
2096,2614
2828,3072
1470,2701
1236,2410
2529,3084
2003,2710
316,675
467,1711
153,176
36,2402
1348,1806
978,1046
800,2781
1073,2651
1164,1372
458,2274
908,3153
1645,2691
1989,2063
1046,3048
19,753
1529,2469
1563,2165
1764,2217
19,793
1003,1692
1328,2433
2271,3064
1943,3094
843,1203
1835,2077
125,2658
1944,2317
1525,1758
1774,2413
1322,1692
260,916
1252,1691
499,2162
2674,2779
838,1682
91,2176
1578,1815
1216,1313
1080,2121
169,521
1959,2197
328,1695
929,1512
17,3005
1687,2783
1883,2486
462,928
1428,2915
760,2813
710,1270
267,2171
1468,1724
820,2674
1422,2540
2308,2607
1784,2562
2270,2910
381,2683
938,2301
1933,2337
1063,2756
2311,3092
532,1668
282,3108
882,1876
586,1309
962,1454
1373,2777
1553,2345
829,2213
559,710
908,1434
872,2688
715,2588
627,2966
543,729
764,2023
2223,2886
1476,1480
815,3031
232,2308
987,1642
2692,2848
1894,2260
978,1188
2232,2824
398,2184
339,1613
957,1742
1153,1849
952,1550
2482,2653
940,3155
927,1502
1138,2865
202,824
1246,2487
39,800
485,2871
2064,3081
533,2477
440,1665
468,1492
14,3068
1520,2323
1890,2663
453,503
989,3069
2197,2464
41,1890
766,989
570,1205
887,948
1247,2300
1856,2898
1931,2476
1422,3119
937,2157
180,2460
2387,2515
726,2982
655,3006
2577,3119
633,2165
1039,1336
755,2239
753,1300
660,780
155,993
929,1444
294,2035
1169,2635
921,1761
28,2048
836,2065
2076,2693
238,2678
514,2458
2152,2971
637,1659
1252,2211
2871,3084
797,1080
1346,2842
1191,1349
250,2967
843,2087
1711,3131
3119,3129
406,747
2209,3024
898,2490
103,971
1831,2848
2663,3155
1063,2444
380,777
1418,1948
1830,2046
1884,2487
2024,2616
433,1218
1366,2848
509,2779
1589,3006
981,2952
1663,2320
375,1961
625,777
1128,2575
1399,2755
978,1573
267,2094
702,1245
440,2003
329,1172
378,431
1453,1848
1235,1735
1063,2807
274,1053
986,1062
2581,2949
3075,3146
775,1536
1288,2092
1090,2807
1142,3098
1109,1667
1829,2778
2115,2893
1490,1576
1575,2948
1314,1545
674,961
842,901
2455,2518
238,978
1615,1981
496,1764
701,2657
1314,2017
78,1813
555,1017
1657,2730
1146,2726
2460,2804
2307,3011
287,1657
2937,2962
2760,3008
1230,1312
145,2643
453,1197
2375,2678
119,3146
1084,2578
454,3115
1444,2238
567,2007
101,2800
678,2197
1449,2756
2173,2862
544,2123
165,697
1578,2254
1151,1247
336,499
540,2444
