DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
0,(+)-Mefloquine,456309.0,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,378.31,3.6,45.2,2.0,9.0,2.0,PubChem,Available
1,(+)-menthol,165675.0,CC1CCC(C(C1)O)C(C)C,156.26,3.0,20.2,1.0,1.0,1.0,PubChem,Available
2,"(1,2,6,7-3H)Testosterone",91667979.0,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,296.5,3.3,37.3,1.0,2.0,0.0,PubChem,Available
3,"(1R,2S)-2-Phenylcyclopropanaminium",11861988.0,C1C(C1[NH3+])C2=CC=CC=C2,134.2,1.5,27.6,1.0,0.0,1.0,PubChem,Available
4,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",11235729.0,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,315.4,0.7,90.4,2.0,4.0,2.0,PubChem,Available
5,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",180621.0,CC1=C(C(=CC=C1)C)OCC(C)N,179.26,2.1,35.3,1.0,2.0,3.0,PubChem,Available
6,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,10918.0,C[N+](C)(C)CC(CC(=O)O)O,162.21,-0.8,57.5,2.0,3.0,4.0,PubChem,Available
7,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",9824580.0,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,441.5,5.1,110.0,2.0,6.0,5.0,PubChem,Available
8,(6R)-Folinic acid,135484651.0,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,473.4,-1.2,216.0,7.0,10.0,9.0,PubChem,Available
9,"(6S)-5,6,7,8-tetrahydrofolic acid",135398650.0,C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,445.4,-0.6,207.0,8.0,10.0,9.0,PubChem,Available
10,(R)-Atenolol,180559.0,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,266.34,0.2,84.6,3.0,4.0,8.0,PubChem,Available
11,(R)-Bicalutamide,56069.0,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,430.4,2.3,116.0,2.0,9.0,5.0,PubChem,Available
12,(R)-Fluoxetine,1548970.0,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,309.33,4.0,21.3,1.0,5.0,6.0,PubChem,Available
13,(R)-Gossypol,3503.0,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,518.6,6.9,156.0,6.0,8.0,5.0,PubChem,Available
14,(R)-Praziquantel,445900.0,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,312.4,2.7,40.6,0.0,2.0,1.0,PubChem,Available
15,(R)-Propafenone,184819.0,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,341.4,3.3,58.6,2.0,4.0,11.0,PubChem,Available
