DrugName,DrugA_Count,DrugB_Count,Total_DDI_Records,In_Master_Dataset
(+)-mefloquine,3,34,37,True
(+)-menthol,8,14,22,True
"(1,2,6,7-3h)testosterone",25,27,52,True
"(1r,2s)-2-phenylcyclopropanaminium",76,0,76,True
"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",19,30,49,True
"(2r)-1-(2,6-dimethylphenoxy)propan-2-amine",5,25,30,True
(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,13,17,30,True
"(5r)-5-(4-{[(2r)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2h-chromen-2-yl]methoxy}benzyl)-1,3-thiazolidine-2,4-dione",43,15,58,True
(6r)-folinic acid,1,8,9,True
"(6s)-5,6,7,8-tetrahydrofolic acid",1,0,1,True
(r)-atenolol,37,20,57,True
(r)-bicalutamide,15,16,31,True
(r)-etodolac,35,33,68,True
(r)-fluoxetine,22,61,83,True
(r)-gossypol,9,14,23,True
(r)-praziquantel,21,3,24,True
(r)-propafenone,44,25,69,True
(r)-rolipram,17,6,23,True
(r)-warfarin,31,51,82,True
(s)-econazole,5,3,8,True
(s)-indapamide,38,34,72,True
"1,10-phenanthroline",10,3,13,True
"1,2-benzodiazepine",8,30,38,True
"1,6-fructose diphosphate (linear form)",0,4,4,True
1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine,8,2,10,True
"1-benzyl-4-[(5,6-dimethoxy-1-indanon-2-yl)methyl]piperidine",67,0,67,True
1-benzylimidazole,12,8,20,True
1-deoxymannojirimycin,17,14,31,True
1-testosterone,2,1,3,True
10-hydroxycamptothecin,3,1,4,True
16-bromoepiandrosterone,1,0,1,True
17alpha-estriol,3,8,11,True
18-methyl-19-nortestosterone,2,0,2,True
19-norandrostenedione,1,1,2,True
"1alpha,24s-dihydroxyvitamin d2",7,2,9,True
1alpha-hydroxyvitamin d5,6,9,15,True
"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium",38,15,53,True
"2,4-thiazolidinedione",2,27,29,True
"2,5-dimethoxy-4-ethylamphetamine",26,15,41,True
"2,5-dimethoxy-4-ethylthioamphetamine",24,19,43,True
2-(4-chlorophenyl)-5-quinoxalinecarboxamide,1,1,2,True
2-chloro-5-[(1s)-1-hydroxy-3-oxo-2h-isoindol-1-yl]benzenesulfonamide,46,20,66,True
2-chloroethyl-3-sarcosinamide-1-nitrosourea,1,0,1,True
2-fluoroadenosine,10,4,14,True
2-methoxyestradiol,1,0,1,True
2-methoxyethanol,0,4,4,True
25-desacetylrifapentine,1,2,3,True
"3,4-dihydroxybenzoic acid",1,0,1,True
"3,5-diiodothyropropionic acid",0,12,12,True
"3,5-diiodotyrosine",8,8,16,True
"3,5-dinitrocatechol",0,5,5,True
3-isobutyl-1-methyl-7h-xanthine,11,1,12,True
"4-bromo-2,5-dimethoxyamphetamine",49,12,61,True
"4-bromo-2,5-dimethoxyphenethylamine",1,4,5,True
4-hydroxycoumarin,5,34,39,True
4-hydroxytestosterone,3,0,3,True
4-methoxyamphetamine,26,29,55,True
4-oxoretinol,2,1,3,True
5-(2-methylpiperazine-1-sulfonyl)isoquinoline,2,0,2,True
5-androstenedione,0,5,5,True
5-fluorouridine,3,1,4,True
"5-methoxy-n,n-dimethyltryptamine",1,40,41,True
5-methyltetrahydrofolic acid,0,2,2,True
5beta-dihydrotestosterone,6,5,11,True
"6-chloro-3-(dichloromethyl)-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide",41,22,63,True
6-deoxyerythronolide b,12,5,17,True
6-o-benzylguanine,15,16,31,True
"6s-5,6,7,8-tetrahydrobiopterin",4,2,6,True
"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline",6,44,50,True
"7,9-dimethylguanine",10,8,18,True
