drug1,drug2,pair_key
brompheniramine,pentolinium,brompheniramine||pentolinium
epirizole,lorazepam,epirizole||lorazepam
ebastine,sultopride,ebastine||sultopride
ascorbic acid,chlorotrianisene,ascorbic acid||chlorotrianisene
dihydromorphine,lenabasum,dihydromorphine||lenabasum
dexrazoxane,procainamide,dexrazoxane||procainamide
alfentanil,dextromethadone,alfentanil||dextromethadone
atorvastatin,colchicine,atorvastatin||colchicine
amikacin,pentamidine,amikacin||pentamidine
azosemide,cloprednol,azosemide||cloprednol
ethylmorphine,raclopride,ethylmorphine||raclopride
methylprednisolone aceponate,sotagliflozin,methylprednisolone aceponate||sotagliflozin
romidepsin,tenofovir disoproxil,romidepsin||tenofovir disoproxil
pipamperone,thioridazine,pipamperone||thioridazine
oxyphenbutazone,zonisamide,oxyphenbutazone||zonisamide
desloratadine,magnesium cation,desloratadine||magnesium cation
beta-isosparteine,galantamine,beta-isosparteine||galantamine
azelastine,fazadinium bromide,azelastine||fazadinium bromide
iproniazid,suvorexant,iproniazid||suvorexant
brilaroxazine,zolmitriptan,brilaroxazine||zolmitriptan
captodiame,procarbazine,captodiame||procarbazine
cefotetan,goserelin,cefotetan||goserelin
alfacalcidol,hydrocortisone butyrate,alfacalcidol||hydrocortisone butyrate
nomegestrol,triamcinolone,nomegestrol||triamcinolone
9-(n-methyl-l-isoleucine)-cyclosporin a,prednylidene,9-(n-methyl-l-isoleucine)-cyclosporin a||prednylidene
tetryzoline,trimazosin,tetryzoline||trimazosin
promethazine,xipamide,promethazine||xipamide
equilin,zimelidine,equilin||zimelidine
arbaclofen,mianserin,arbaclofen||mianserin
levosulpiride,perhexiline,levosulpiride||perhexiline
"dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1h,5h)-pyrimidinedione",docusate,"dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1h,5h)-pyrimidinedione||docusate"
droxicam,tetrahydrocannabivarin,droxicam||tetrahydrocannabivarin
canagliflozin,selexipag,canagliflozin||selexipag
palonosetron,tasimelteon,palonosetron||tasimelteon
chloramphenicol,cortivazol,chloramphenicol||cortivazol
lorazepam,quingestanol,lorazepam||quingestanol
glycol salicylate,methyldopa,glycol salicylate||methyldopa
cephaloglycin,gentamicin c1a,cephaloglycin||gentamicin c1a
guacetisal,potassium cation,guacetisal||potassium cation
minoxidil,pf-00610355,minoxidil||pf-00610355
neamine,oxabolone cipionate,neamine||oxabolone cipionate
azathioprine,mofebutazone,azathioprine||mofebutazone
codeine,lanicemine,codeine||lanicemine
acalabrutinib,prednisolone hemisuccinate,acalabrutinib||prednisolone hemisuccinate
aripiprazole,deutetrabenazine,aripiprazole||deutetrabenazine
cyclobenzaprine,eltoprazine,cyclobenzaprine||eltoprazine
lanreotide,lobeglitazone,lanreotide||lobeglitazone
lactulose,procaine,lactulose||procaine
gw842166,levodopa,gw842166||levodopa
nevirapine,tucatinib,nevirapine||tucatinib
dofetilide,dosulepin,dofetilide||dosulepin
palonosetron,tamsulosin,palonosetron||tamsulosin
periciazine,tulobuterol,periciazine||tulobuterol
mersalyl,tolfenamic acid,mersalyl||tolfenamic acid
megestrol acetate,ramelteon,megestrol acetate||ramelteon
isoetharine,vilazodone,isoetharine||vilazodone
flupirtine,mangafodipir,flupirtine||mangafodipir
dabrafenib,epothilone d,dabrafenib||epothilone d
enflurane,surinabant,enflurane||surinabant
clorgiline,pentamidine,clorgiline||pentamidine
barnidipine,ethacizine,barnidipine||ethacizine
dexpramipexole,drospirenone,dexpramipexole||drospirenone
diltiazem,vilanterol,diltiazem||vilanterol
norgestimate,pralsetinib,norgestimate||pralsetinib
benmoxin,naratriptan,benmoxin||naratriptan
loxoprofen,pregabalin,loxoprofen||pregabalin
dexloxiglumide,methimazole,dexloxiglumide||methimazole
azapropazone,minoxidil,azapropazone||minoxidil
levonordefrin,win 55212-2,levonordefrin||win 55212-2
ethchlorvynol,serotonin,ethchlorvynol||serotonin
benzbromarone,parecoxib,benzbromarone||parecoxib
levomilnacipran,resveratrol,levomilnacipran||resveratrol
ceftolozane,phenelzine,ceftolozane||phenelzine
prasugrel,tropisetron,prasugrel||tropisetron
amantadine,amitriptylinoxide,amantadine||amitriptylinoxide
foscarnet,fosinopril,foscarnet||fosinopril
carisoprodol,trimethadione,carisoprodol||trimethadione
amisulpride,febarbamate,amisulpride||febarbamate
gentamicin c1a,tenofovir,gentamicin c1a||tenofovir
nicergoline,troleandomycin,nicergoline||troleandomycin
estradiol,ioxilan,estradiol||ioxilan
fluvoxamine,hydralazine,fluvoxamine||hydralazine
clozapine,mometasone,clozapine||mometasone
amisulpride,penbutolol,amisulpride||penbutolol
bismuth subgallate,icosapent,bismuth subgallate||icosapent
aprobarbital,pyridostigmine,aprobarbital||pyridostigmine
pentoxifylline,tiludronic acid,pentoxifylline||tiludronic acid
arbaclofen,gadofosveset trisodium,arbaclofen||gadofosveset trisodium
framycetin,tazobactam,framycetin||tazobactam
chlorpromazine,hydrogen peroxide,chlorpromazine||hydrogen peroxide
bleomycin,clevidipine,bleomycin||clevidipine
fluclorolone,tinoridine,fluclorolone||tinoridine
flupentixol,tiagabine,flupentixol||tiagabine
wortmannin,zotepine,wortmannin||zotepine
diclofenac,pf-00610355,diclofenac||pf-00610355
albuterol,brexpiprazole,albuterol||brexpiprazole
carbidopa,estradiol acetate,carbidopa||estradiol acetate
hydrocortisone butyrate,trofosfamide,hydrocortisone butyrate||trofosfamide
methyclothiazide,tasosartan,methyclothiazide||tasosartan
carprofen,pomalidomide,carprofen||pomalidomide
gadoteric acid,gemfibrozil,gadoteric acid||gemfibrozil
melperone,quinidine,melperone||quinidine
nicomorphine,zolazepam,nicomorphine||zolazepam
acalabrutinib,amlodipine,acalabrutinib||amlodipine
carbimazole,lisofylline,carbimazole||lisofylline
endralazine,fenozolone,endralazine||fenozolone
alaproclate,guanfacine,alaproclate||guanfacine
abrocitinib,relugolix,abrocitinib||relugolix
"(1r,2s)-2-phenylcyclopropanaminium",iprazochrome,"(1r,2s)-2-phenylcyclopropanaminium||iprazochrome"
dexniguldipine,perindoprilat,dexniguldipine||perindoprilat
huperzine a,metixene,huperzine a||metixene
barnidipine,lorcaserin,barnidipine||lorcaserin
avanafil,ritonavir,avanafil||ritonavir
diphenidol,melitracen,diphenidol||melitracen
opipramol,phenibut,opipramol||phenibut
amitraz,bretylium,amitraz||bretylium
cefbuperazone,guanfacine,cefbuperazone||guanfacine
benzbromarone,pentobarbital,benzbromarone||pentobarbital
miconazole,ranolazine,miconazole||ranolazine
prednylidene,taspoglutide,prednylidene||taspoglutide
eplivanserin,hydrocodone,eplivanserin||hydrocodone
buclizine,prulifloxacin,buclizine||prulifloxacin
candesartan cilexetil,piroxicam,candesartan cilexetil||piroxicam
dersalazine,meclofenamic acid,dersalazine||meclofenamic acid
betaxolol,quizartinib,betaxolol||quizartinib
grepafloxacin,sitagliptin,grepafloxacin||sitagliptin
buprenorphine,ipratropium,buprenorphine||ipratropium
acepromazine,quinupramine,acepromazine||quinupramine
"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium",fenproporex,"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium||fenproporex"
finerenone,paliperidone,finerenone||paliperidone
carbutamide,methylprednisolone,carbutamide||methylprednisolone
garenoxacin,pentoxifylline,garenoxacin||pentoxifylline
bepotastine,fondaparinux,bepotastine||fondaparinux
minaprine,talopram,minaprine||talopram
"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",sitafloxacin,"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile||sitafloxacin"
erdafitinib,quizartinib,erdafitinib||quizartinib
bupivacaine,vinyl ether,bupivacaine||vinyl ether
armodafinil,ticlopidine,armodafinil||ticlopidine
cloprednol,oleandomycin,cloprednol||oleandomycin
cyclandelate,propiomazine,cyclandelate||propiomazine
nedocromil,paromomycin,nedocromil||paromomycin
laniquidar,sirolimus,laniquidar||sirolimus
seratrodast,umifenovir,seratrodast||umifenovir
aluminum sulfate,fluvoxamine,aluminum sulfate||fluvoxamine
aliskiren,salicylamide,aliskiren||salicylamide
(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,edoxaban,(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium||edoxaban
finasteride,primidone,finasteride||primidone
cefpodoxime,ceftolozane,cefpodoxime||ceftolozane
bedaquiline,desvenlafaxine,bedaquiline||desvenlafaxine
apixaban,droxicam,apixaban||droxicam
agomelatine,aprobarbital,agomelatine||aprobarbital
azilsartan medoxomil,norfenefrine,azilsartan medoxomil||norfenefrine
oxyfedrine,tiaprofenic acid,oxyfedrine||tiaprofenic acid
cloricromen,dabigatran,cloricromen||dabigatran
barnidipine,granisetron,barnidipine||granisetron
linezolid,tenofovir,linezolid||tenofovir
ebselen,pf-00610355,ebselen||pf-00610355
itraconazole,nomegestrol,itraconazole||nomegestrol
aluminum chlorohydrate,baricitinib,aluminum chlorohydrate||baricitinib
cabozantinib,loperamide,cabozantinib||loperamide
icosapent ethyl,menthyl salicylate,icosapent ethyl||menthyl salicylate
carbromal,ketazolam,carbromal||ketazolam
acemetacin,testosterone propionate,acemetacin||testosterone propionate
acebutolol,pivhydrazine,acebutolol||pivhydrazine
clocortolone,pioglitazone,clocortolone||pioglitazone
bromocriptine,lasmiditan,bromocriptine||lasmiditan
n-propargyl-1(s)-aminoindan,tacrolimus,n-propargyl-1(s)-aminoindan||tacrolimus
lofepramine,nilvadipine,lofepramine||nilvadipine
delavirdine,licofelone,delavirdine||licofelone
dantrolene,guacetisal,dantrolene||guacetisal
cinolazepam,clorgiline,cinolazepam||clorgiline
deanol,ethchlorvynol,deanol||ethchlorvynol
esmirtazapine,piclozotan,esmirtazapine||piclozotan
benazepril,terguride,benazepril||terguride
aluminum chlorohydrate,meropenem,aluminum chlorohydrate||meropenem
dexniguldipine,enoxacin,dexniguldipine||enoxacin
acetazolamide,diethylpropion,acetazolamide||diethylpropion
ciprofloxacin,zanubrutinib,ciprofloxacin||zanubrutinib
hydroxyzine,mitotane,hydroxyzine||mitotane
nicorandil,trandolaprilat,nicorandil||trandolaprilat
dihydroergocristine,theodrenaline,dihydroergocristine||theodrenaline
neratinib,rucaparib,neratinib||rucaparib
ebastine,famotidine,ebastine||famotidine
methoxyflurane,succinylcholine,methoxyflurane||succinylcholine
oxybuprocaine,penclomedine,oxybuprocaine||penclomedine
clozapine,seratrodast,clozapine||seratrodast
daunorubicin,dronedarone,daunorubicin||dronedarone
nordazepam,oxycodone,nordazepam||oxycodone
fosinoprilat,guanethidine,fosinoprilat||guanethidine
foscarnet,selenium,foscarnet||selenium
fluconazole,fluprednidene,fluconazole||fluprednidene
benzoctamine,methoxyflurane,benzoctamine||methoxyflurane
1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine,astemizole,1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine||astemizole
afatinib,ethyl chloride,afatinib||ethyl chloride
granisetron,omaveloxolone,granisetron||omaveloxolone
amlodipine,vernakalant,amlodipine||vernakalant
dosulepin,norfloxacin,dosulepin||norfloxacin
isocarboxazid,meprobamate,isocarboxazid||meprobamate
dacomitinib,oxybuprocaine,dacomitinib||oxybuprocaine
6-o-benzylguanine,dabrafenib,6-o-benzylguanine||dabrafenib
dexamethasone acetate,sulfisoxazole,dexamethasone acetate||sulfisoxazole
entacapone,pridinol,entacapone||pridinol
celiprolol,remifentanil,celiprolol||remifentanil
dosulepin,metrifonate,dosulepin||metrifonate
acenocoumarol,sitafloxacin,acenocoumarol||sitafloxacin
alaproclate,hexobarbital,alaproclate||hexobarbital
gabapentin enacarbil,phylloquinone,gabapentin enacarbil||phylloquinone
florbetaben f-18,metoclopramide,florbetaben f-18||metoclopramide
dextropropoxyphene,etizolam,dextropropoxyphene||etizolam
mannitol busulfan,spirapril,mannitol busulfan||spirapril
acepromazine,ganaxolone,acepromazine||ganaxolone
