DrugID,DrugName,CID
2,"(1,2,6,7-3H)Testosterone",91667979.0
13,(R)-Gossypol,3503.0
14,(R)-Praziquantel,445900.0
15,(R)-Propafenone,184819.0
18,(R)-warfarin,54684598.0
24,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,60977.0
32,18-methyl-19-nortestosterone,10039774.0
33,19-norandrostenedione,92834.0
34,"1alpha,24S-Dihydroxyvitamin D2",9547261.0
43,2-Methoxyethanol,8019.0
45,2-chloroethyl-3-sarcosinamide-1-nitrosourea,100773.0
46,25-desacetylrifapentine,135564528.0
47,"3,4-Dihydroxybenzoic Acid",72.0
50,"3,5-diiodothyropropionic acid",160565.0
54,4-Hydroxytestosterone,160615.0
56,4-Oxoretinol,5289090.0
57,4-hydroxycoumarin,54682930.0
59,5-androstenedione,160531.0
72,7-Deazaguanine,135408714.0
77,9-(N-methyl-L-isoleucine)-cyclosporin A,6473876.0
101,Acefylline,69550.0
118,Acetylleucine,1995.0
135,Adrafinil,3033226.0
149,Alcloxa,136146352.0
155,Alexitol sodium,91663271.0
160,Algestone,11687.0
161,Algestone acetophenide,5284538.0
166,Allobarbital,5842.0
170,Almasilate,131704329.0
171,Alminoprofen,2097.0
174,Aloglutamol,72941505.0
177,Alphacetylmethadol,22308.0
178,Alphaprodine,120738.0
185,Aluminium acetotartrate,76968033.0
186,Aluminium clofibrate,10390009.0
187,Aluminium glycinate,73415751.0
188,Aluminium nicotinate,16098.0
190,Aluminium tristearate,12496.0
192,Aluminum chlorohydrate,71586946.0
193,Aluminum sulfate,24850.0
213,Aminomethylbenzoic acid,65526.0
226,Ammonium bicarbonate,14013.0
228,Ammonium tetrathiomolybdate,15251598.0
249,Anecortave,7074810.0
265,Apramycin,3081545.0
271,Apronalide,10715.0
284,Arketamine,644025.0
288,Artefenomel,24999143.0
300,Aspoxicillin,71961.0
326,Avilamycin,71674.0
337,Azidamfenicol,62858.0
351,Bambermycins,6433554.0
353,Bamifylline,16229.0
375,Bencyclane,2312.0
381,Benmoxin,71671.0
391,Benzilone,66248.0
395,Benzoctamine,28425.0
409,Berberine ursodeoxycholate,137552085.0
423,Bevonium,31800.0
427,Bezitramide,61791.0
429,Bicisate,72048.0
431,Bietaserpine,20054848.0
446,Bismuth subnitrate,73415757.0
449,Bisoxatin,28689.0
455,Bolandiol,9835303.0
456,Bolasterone,102146.0
459,Bornaprine,70687267.0
478,Bromisoval,2447.0
496,Bumadizone,19161.0
498,Bunaftine,36131.0
510,Butanilicaine,22379.0
511,Butaperazine,12598.0
512,Buthiazide,16274.0
516,Butylphthalide,61361.0
521,CM-4307,25191001.0
527,Cadralazine,2515.0
528,Cafedrine,5489638.0
533,Calcium cation,271.0
534,Calcium glubionate anhydrous,6093407.0
535,Calcium glucoheptonate,62859.0
538,Calcium pangamate,76966485.0
542,Camylofin,5902.0
553,Canrenoic acid,656615.0
572,Carbomycin,5287879.0
573,Carboprost,5281075.0
576,Carbromal,6488.0
577,Carbutamide,9564.0
589,Caroverine,65709.0
590,Caroxazone,29083.0
596,Cathine,441457.0
597,Cathinone,62258.0
602,Cefaloridine,5773.0
608,Cefazedone,71736.0
610,Cefbuperazone,127527.0
611,Cefcapene,6436055.0
615,Cefetamet,5487888.0
619,Cefminox,71141.0
