DrugID,DrugName,CID,ChEBI_ID
0,(+)-Mefloquine,456309,CHEBI:63684
1,(+)-menthol,165675,CHEBI:76306
2,"(1,2,6,7-3H)Testosterone",91667979,
3,"(1R,2S)-2-Phenylcyclopropanaminium",11861988,CHEBI:131517
4,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",11235729,
5,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",180621,
6,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,10918,CHEBI:39547
7,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",9824580,
8,(6R)-Folinic acid,135484651,
9,"(6S)-5,6,7,8-tetrahydrofolic acid",135398650,CHEBI:15635
10,(R)-Atenolol,180559,CHEBI:55352
11,(R)-Bicalutamide,56069,CHEBI:39589
12,(R)-Fluoxetine,1548970,CHEBI:86991
13,(R)-Gossypol,3503,CHEBI:28584
14,(R)-Praziquantel,445900,
15,(R)-Propafenone,184819,
16,(R)-Rolipram,448055,CHEBI:40133
17,(R)-etodolac,667528,CHEBI:60370
18,(R)-warfarin,54684598,CHEBI:87737
19,(S)-Indapamide,12598931,
20,(S)-econazole,12773795,CHEBI:82872
21,"1,10-Phenanthroline",1318,CHEBI:44975
22,"1,2-Benzodiazepine",134664,
24,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,60977,
25,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",1150567,CHEBI:53292
26,1-Testosterone,236666,CHEBI:59714
27,1-benzylimidazole,77918,
28,1-deoxymannojirimycin,72258,
29,10-hydroxycamptothecin,97226,CHEBI:81395
30,16-Bromoepiandrosterone,71613,
31,17alpha-Estriol,256737,CHEBI:42156
32,18-methyl-19-nortestosterone,10039774,
33,19-norandrostenedione,92834,CHEBI:34187
