DrugID,DrugName,CID,ChEBI_ID,Pathway_ID,Pathway_Name,Evidence,Species
1,(+)-menthol,165675,CHEBI:76306,R-HSA-381753,Olfactory Signaling Pathway,IEA,Homo sapiens
1,(+)-menthol,165675,CHEBI:76306,R-HSA-381753,Olfactory Signaling Pathway,TAS,Homo sapiens
1,(+)-menthol,165675,CHEBI:76306,R-HSA-9709957,Sensory Perception,IEA,Homo sapiens
1,(+)-menthol,165675,CHEBI:76306,R-HSA-9709957,Sensory Perception,TAS,Homo sapiens
21,"1,10-Phenanthroline",1318,CHEBI:44975,R-HSA-9709957,Sensory Perception,IEA,Homo sapiens
21,"1,10-Phenanthroline",1318,CHEBI:44975,R-HSA-9709957,Sensory Perception,TAS,Homo sapiens
21,"1,10-Phenanthroline",1318,CHEBI:44975,R-HSA-9717189,Sensory perception of taste,IEA,Homo sapiens
21,"1,10-Phenanthroline",1318,CHEBI:44975,R-HSA-9717189,Sensory perception of taste,TAS,Homo sapiens
21,"1,10-Phenanthroline",1318,CHEBI:44975,R-HSA-9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",IEA,Homo sapiens
21,"1,10-Phenanthroline",1318,CHEBI:44975,R-HSA-9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",TAS,Homo sapiens
47,"3,4-Dihydroxybenzoic Acid",72,CHEBI:36062,R-HSA-1430728,Metabolism,TAS,Homo sapiens
47,"3,4-Dihydroxybenzoic Acid",72,CHEBI:36062,R-HSA-156580,Phase II - Conjugation of compounds,TAS,Homo sapiens
47,"3,4-Dihydroxybenzoic Acid",72,CHEBI:36062,R-HSA-156581,Methylation,TAS,Homo sapiens
47,"3,4-Dihydroxybenzoic Acid",72,CHEBI:36062,R-HSA-211859,Biological oxidations,TAS,Homo sapiens
88,Abacavir,441300,CHEBI:421707,R-HSA-2161517,Abacavir transmembrane transport,TAS,Homo sapiens
88,Abacavir,441300,CHEBI:421707,R-HSA-2161517,Abacavir transmembrane transport,IEA,Homo sapiens
88,Abacavir,441300,CHEBI:421707,R-HSA-2161522,Abacavir ADME,TAS,Homo sapiens
88,Abacavir,441300,CHEBI:421707,R-HSA-2161522,Abacavir ADME,IEA,Homo sapiens
88,Abacavir,441300,CHEBI:421707,R-HSA-2161541,Abacavir metabolism,TAS,Homo sapiens
88,Abacavir,441300,CHEBI:421707,R-HSA-9748784,Drug ADME,TAS,Homo sapiens
88,Abacavir,441300,CHEBI:421707,R-HSA-9748784,Drug ADME,IEA,Homo sapiens
91,Abediterol,11962616,CHEBI:142077,R-HSA-162582,Signal Transduction,TAS,Homo sapiens
91,Abediterol,11962616,CHEBI:142077,R-HSA-372790,Signaling by GPCR,TAS,Homo sapiens
91,Abediterol,11962616,CHEBI:142077,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),TAS,Homo sapiens
91,Abediterol,11962616,CHEBI:142077,R-HSA-375280,Amine ligand-binding receptors,TAS,Homo sapiens
91,Abediterol,11962616,CHEBI:142077,R-HSA-390696,Adrenoceptors,TAS,Homo sapiens
91,Abediterol,11962616,CHEBI:142077,R-HSA-500792,GPCR ligand binding,TAS,Homo sapiens
92,Abemaciclib,46220502,CHEBI:233362,R-HSA-1640170,Cell Cycle,TAS,Homo sapiens
92,Abemaciclib,46220502,CHEBI:233362,R-HSA-453279,Mitotic G1 phase and G1/S transition,TAS,Homo sapiens
92,Abemaciclib,46220502,CHEBI:233362,R-HSA-69231,Cyclin D associated events in G1,TAS,Homo sapiens
92,Abemaciclib,46220502,CHEBI:233362,R-HSA-69236,G1 Phase,TAS,Homo sapiens
92,Abemaciclib,46220502,CHEBI:233362,R-HSA-69278,"Cell Cycle, Mitotic",TAS,Homo sapiens
92,Abemaciclib,46220502,CHEBI:233362,R-HSA-9754119,Drug-mediated inhibition of CDK4/CDK6 activity,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-1266695,Interleukin-7 signaling,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-1280215,Cytokine Signaling in Immune system,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-1280218,Adaptive Immune System,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-1643685,Disease,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-168256,Immune System,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-449147,Signaling by Interleukins,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-451927,Interleukin-2 family signaling,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-5663205,Infectious disease,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-8985947,Interleukin-9 signaling,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-9020558,Interleukin-2 signaling,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-9679191,Potential therapeutics for SARS,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-9679506,SARS-CoV Infections,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-9824446,Viral Infection Pathways,TAS,Homo sapiens
96,Acalabrutinib,71226662,CHEBI:167707,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,TAS,Homo sapiens
