DrugID,DrugName,SideEffect
212,Aminolevulinic acid,Anaemia
212,Aminolevulinic acid,Aphasia
212,Aminolevulinic acid,Mental disorder
212,Aminolevulinic acid,Brain neoplasm
212,Aminolevulinic acid,Infection
212,Aminolevulinic acid,Diarrhoea
212,Aminolevulinic acid,Oedema
212,Aminolevulinic acid,Rash
212,Aminolevulinic acid,Dermatitis
212,Aminolevulinic acid,Excoriation
212,Aminolevulinic acid,Eye disorder
212,Aminolevulinic acid,Body temperature increased
212,Aminolevulinic acid,Gastrointestinal disorder
212,Aminolevulinic acid,Glioma
212,Aminolevulinic acid,Headache
212,Aminolevulinic acid,Cardiac disorder
212,Aminolevulinic acid,Hemianopia
212,Aminolevulinic acid,Hemiparesis
212,Aminolevulinic acid,Haemorrhage
212,Aminolevulinic acid,Haemoglobin
212,Aminolevulinic acid,Herpes simplex
212,Aminolevulinic acid,Hyperpathia
212,Aminolevulinic acid,Hyperaesthesia
212,Aminolevulinic acid,Hypoaesthesia
212,Aminolevulinic acid,Hypotension
212,Aminolevulinic acid,Leukocytosis
212,Aminolevulinic acid,Nausea
212,Aminolevulinic acid,Neoplasm
212,Aminolevulinic acid,Nervous system disorder
212,Aminolevulinic acid,Nervousness
212,Aminolevulinic acid,Tension
212,Aminolevulinic acid,Pain
212,Aminolevulinic acid,Paraesthesia
212,Aminolevulinic acid,Petechiae
212,Aminolevulinic acid,Pruritus
212,Aminolevulinic acid,Respiratory insufficiency
212,Aminolevulinic acid,Respiratory failure
212,Aminolevulinic acid,Seborrhoeic dermatitis
212,Aminolevulinic acid,Convulsion
212,Aminolevulinic acid,Skin disorder
212,Aminolevulinic acid,Sunburn
212,Aminolevulinic acid,Photosensitivity reaction
212,Aminolevulinic acid,Thrombocytopenia
212,Aminolevulinic acid,Thromboembolism
212,Aminolevulinic acid,Embolism
212,Aminolevulinic acid,Embolism venous
212,Aminolevulinic acid,Ulcer
212,Aminolevulinic acid,Erythema
212,Aminolevulinic acid,Angiopathy
212,Aminolevulinic acid,Vomiting
212,Aminolevulinic acid,Chills
212,Aminolevulinic acid,Rash pustular
212,Aminolevulinic acid,Application site reaction
212,Aminolevulinic acid,Gamma-glutamyltransferase increased
212,Aminolevulinic acid,Skin hypertrophy
212,Aminolevulinic acid,Aspartate aminotransferase increased
212,Aminolevulinic acid,Alanine aminotransferase increased
212,Aminolevulinic acid,Dry skin
212,Aminolevulinic acid,Eyelid oedema
212,Aminolevulinic acid,Skin hyperpigmentation
212,Aminolevulinic acid,Leukoderma
212,Aminolevulinic acid,Unspecified disorder of skin and subcutaneous tissue
212,Aminolevulinic acid,Scab
212,Aminolevulinic acid,Welts
212,Aminolevulinic acid,Urticaria
212,Aminolevulinic acid,Discomfort
212,Aminolevulinic acid,Tenderness
212,Aminolevulinic acid,Skin exfoliation
212,Aminolevulinic acid,Pustule
212,Aminolevulinic acid,Skin tightness
212,Aminolevulinic acid,Hepatobiliary disease
212,Aminolevulinic acid,Blood bilirubin increased
212,Aminolevulinic acid,Induration
212,Aminolevulinic acid,Photosensitivity
212,Aminolevulinic acid,Warmth
212,Aminolevulinic acid,Feeling hot
212,Aminolevulinic acid,Dysaesthesia
212,Aminolevulinic acid,Wound secretion
212,Aminolevulinic acid,Rash maculo-papular
212,Aminolevulinic acid,Application site irritation
212,Aminolevulinic acid,Stinging
212,Aminolevulinic acid,Skin carcinoma
212,Aminolevulinic acid,Skin cancer
212,Aminolevulinic acid,Acne
212,Aminolevulinic acid,Infestation NOS
212,Aminolevulinic acid,Infestation
212,Aminolevulinic acid,Blood and lymphatic system disorders
212,Aminolevulinic acid,Blood amylase increased
212,Aminolevulinic acid,Amylase increased
212,Aminolevulinic acid,Accidental ingestion
212,Aminolevulinic acid,Accidental exposure to product
212,Aminolevulinic acid,Hyperkeratosis
212,Aminolevulinic acid,Photodermatosis
212,Aminolevulinic acid,Brain oedema
212,Aminolevulinic acid,Photodamaged skin
107,Acetate,Acidosis
107,Acetate,Haematuria
107,Acetate,Hypernatraemia
107,Acetate,Pain
107,Acetate,Stinging
114,Acetylcholine,Corneal oedema
114,Acetylcholine,Corneal opacity
114,Acetylcholine,Dyspnoea
114,Acetylcholine,Flushing
114,Acetylcholine,Hypotension
114,Acetylcholine,Sweating
114,Acetylcholine,Hyperhidrosis
114,Acetylcholine,Bradycardia
114,Acetylcholine,Corneal decompensation
402,Benzyl alcohol,Oedema
402,Benzyl alcohol,Rash
402,Benzyl alcohol,Dermatitis
402,Benzyl alcohol,Excoriation
402,Benzyl alcohol,Hypoaesthesia
402,Benzyl alcohol,Pain
402,Benzyl alcohol,Paraesthesia
402,Benzyl alcohol,Pruritus
402,Benzyl alcohol,Pyoderma
402,Benzyl alcohol,Dermatitis infected
402,Benzyl alcohol,Erythema
402,Benzyl alcohol,Dandruff
402,Benzyl alcohol,Seborrhoeic dermatitis
402,Benzyl alcohol,Application site anaesthesia
402,Benzyl alcohol,Eye irritation
402,Benzyl alcohol,Skin exfoliation
402,Benzyl alcohol,Application site irritation
402,Benzyl alcohol,Application site rash
402,Benzyl alcohol,Thermal burn
402,Benzyl alcohol,Application site dryness
402,Benzyl alcohol,Application site excoriation
402,Benzyl alcohol,Application site erosion
414,Betaine,Alopecia
414,Betaine,Anorexia
414,Betaine,Decreased appetite
414,Betaine,Mental disorder
414,Betaine,Edema cerebral
414,Betaine,Brain oedema
414,Betaine,Diarrhoea
