DrugID,DrugName,SideEffect
212.0,Aminolevulinic acid,C0002871
212.0,Aminolevulinic acid,C0003537
212.0,Aminolevulinic acid,C0004936
212.0,Aminolevulinic acid,C0006118
212.0,Aminolevulinic acid,C0009450
212.0,Aminolevulinic acid,C0011991
212.0,Aminolevulinic acid,C0013604
212.0,Aminolevulinic acid,C0015230
212.0,Aminolevulinic acid,C0011603
212.0,Aminolevulinic acid,C0015256
212.0,Aminolevulinic acid,C0015397
212.0,Aminolevulinic acid,C0015967
212.0,Aminolevulinic acid,C0017178
212.0,Aminolevulinic acid,C0017638
212.0,Aminolevulinic acid,C0018681
212.0,Aminolevulinic acid,C0018799
212.0,Aminolevulinic acid,C0018979
212.0,Aminolevulinic acid,C0018989
212.0,Aminolevulinic acid,C0019080
212.0,Aminolevulinic acid,C0518015
212.0,Aminolevulinic acid,C0019348
212.0,Aminolevulinic acid,C0020429
212.0,Aminolevulinic acid,C0020453
212.0,Aminolevulinic acid,C0020580
212.0,Aminolevulinic acid,C0020649
212.0,Aminolevulinic acid,C0023518
212.0,Aminolevulinic acid,C0027497
212.0,Aminolevulinic acid,C0027651
212.0,Aminolevulinic acid,C0027765
212.0,Aminolevulinic acid,C0027769
212.0,Aminolevulinic acid,C0233494
212.0,Aminolevulinic acid,C0030193
212.0,Aminolevulinic acid,C0030554
212.0,Aminolevulinic acid,C0031256
212.0,Aminolevulinic acid,C0033774
212.0,Aminolevulinic acid,C0035229
212.0,Aminolevulinic acid,C1145670
212.0,Aminolevulinic acid,C0036508
212.0,Aminolevulinic acid,C0036572
212.0,Aminolevulinic acid,C0037274
212.0,Aminolevulinic acid,C0038814
212.0,Aminolevulinic acid,C0162830
212.0,Aminolevulinic acid,C0040034
212.0,Aminolevulinic acid,C0040038
212.0,Aminolevulinic acid,C0013922
212.0,Aminolevulinic acid,C0340726
212.0,Aminolevulinic acid,C0041582
212.0,Aminolevulinic acid,C0041834
212.0,Aminolevulinic acid,C0042373
212.0,Aminolevulinic acid,C0042963
212.0,Aminolevulinic acid,C0085593
212.0,Aminolevulinic acid,C0085641
212.0,Aminolevulinic acid,C0151505
212.0,Aminolevulinic acid,C0151662
212.0,Aminolevulinic acid,C0151717
212.0,Aminolevulinic acid,C0151904
212.0,Aminolevulinic acid,C0151905
212.0,Aminolevulinic acid,C0151908
212.0,Aminolevulinic acid,C0162285
212.0,Aminolevulinic acid,C0162834
212.0,Aminolevulinic acid,C0162835
212.0,Aminolevulinic acid,C0178298
212.0,Aminolevulinic acid,C0205204
212.0,Aminolevulinic acid,C0221232
212.0,Aminolevulinic acid,C0042109
212.0,Aminolevulinic acid,C0234215
212.0,Aminolevulinic acid,C0234233
212.0,Aminolevulinic acid,C0237849
212.0,Aminolevulinic acid,C0241157
212.0,Aminolevulinic acid,C0241166
212.0,Aminolevulinic acid,C0267792
212.0,Aminolevulinic acid,C0311468
212.0,Aminolevulinic acid,C0332534
212.0,Aminolevulinic acid,C0349506
212.0,Aminolevulinic acid,C0392197
212.0,Aminolevulinic acid,C2939147
212.0,Aminolevulinic acid,C0392699
212.0,Aminolevulinic acid,C0406834
212.0,Aminolevulinic acid,C0423791
212.0,Aminolevulinic acid,C0521490
212.0,Aminolevulinic acid,C0677500
212.0,Aminolevulinic acid,C0699893
212.0,Aminolevulinic acid,C0007114
212.0,Aminolevulinic acid,C0702166
212.0,Aminolevulinic acid,C0851341
212.0,Aminolevulinic acid,C1384353
212.0,Aminolevulinic acid,C0852913
212.0,Aminolevulinic acid,C0151479
212.0,Aminolevulinic acid,C0857807
212.0,Aminolevulinic acid,C3544060
212.0,Aminolevulinic acid,C0870082
212.0,Aminolevulinic acid,C0920193
212.0,Aminolevulinic acid,C1527311
212.0,Aminolevulinic acid,C1698818
107.0,Acetate,C0001122
107.0,Acetate,C0018965
107.0,Acetate,C0020488
107.0,Acetate,C0030193
107.0,Acetate,C0677500
114.0,Acetylcholine,C0010037
114.0,Acetylcholine,C0010038
114.0,Acetylcholine,C0013404
114.0,Acetylcholine,C0016382
114.0,Acetylcholine,C0020649
114.0,Acetylcholine,C0038990
114.0,Acetylcholine,C0020458
114.0,Acetylcholine,C0428977
114.0,Acetylcholine,C0948284
402.0,Benzyl alcohol,C0013604
402.0,Benzyl alcohol,C0015230
402.0,Benzyl alcohol,C0011603
402.0,Benzyl alcohol,C0015256
402.0,Benzyl alcohol,C0020580
402.0,Benzyl alcohol,C0030193
402.0,Benzyl alcohol,C0030554
402.0,Benzyl alcohol,C0033774
402.0,Benzyl alcohol,C0034212
402.0,Benzyl alcohol,C1323189
402.0,Benzyl alcohol,C0041834
402.0,Benzyl alcohol,C0221244
402.0,Benzyl alcohol,C0036508
402.0,Benzyl alcohol,C0234943
402.0,Benzyl alcohol,C0235266
402.0,Benzyl alcohol,C0237849
402.0,Benzyl alcohol,C0521490
402.0,Benzyl alcohol,C0521495
402.0,Benzyl alcohol,C0701836
402.0,Benzyl alcohol,C0877098
402.0,Benzyl alcohol,C1142498
402.0,Benzyl alcohol,C1696574
414.0,Betaine,C0002170
414.0,Betaine,C0003123
414.0,Betaine,C0232462
414.0,Betaine,C0004936
414.0,Betaine,C0006114
414.0,Betaine,C1527311
414.0,Betaine,C0011991
414.0,Betaine,C0017178
414.0,Betaine,C0017675
414.0,Betaine,C0018681
414.0,Betaine,C0019880
414.0,Betaine,C0022107
414.0,Betaine,C0027497
414.0,Betaine,C0027765
414.0,Betaine,C0031212
414.0,Betaine,C0037317
414.0,Betaine,C0851578
414.0,Betaine,C0040435
414.0,Betaine,C0042024
414.0,Betaine,C0042075
414.0,Betaine,C0041969
414.0,Betaine,C0042109
414.0,Betaine,C0042963
414.0,Betaine,C0085631
414.0,Betaine,C0162429
414.0,Betaine,C0178298
414.0,Betaine,C0037274
414.0,Betaine,C0234930
414.0,Betaine,C0235309
414.0,Betaine,C0232487
414.0,Betaine,C0268621
414.0,Betaine,C0541799
414.0,Betaine,C0013378
414.0,Betaine,C0548823
414.0,Betaine,C0700198
533.0,Calcium cation,C0000833
533.0,Calcium cation,C0003123
533.0,Calcium cation,C0232462
533.0,Calcium cation,C0003811
533.0,Calcium cation,C0004093
533.0,Calcium cation,C0006663
533.0,Calcium cation,C0009421
533.0,Calcium cation,C0009676
533.0,Calcium cation,C1443060
533.0,Calcium cation,C0009806
533.0,Calcium cation,C0011206
533.0,Calcium cation,C0011991
533.0,Calcium cation,C0012833
533.0,Calcium cation,C0013604
533.0,Calcium cation,C0018790
