DrugID,DrugName,ConnectivitySMILES
0,(+)-Mefloquine,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
1,(+)-menthol,CC1CCC(C(C1)O)C(C)C
2,"(1,2,6,7-3H)Testosterone",CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
3,"(1R,2S)-2-Phenylcyclopropanaminium",C1C(C1[NH3+])C2=CC=CC=C2
4,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N
5,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",CC1=C(C(=CC=C1)C)OCC(C)N
6,(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,C[N+](C)(C)CC(CC(=O)O)O
7,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
8,(6R)-Folinic acid,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
9,"(6S)-5,6,7,8-tetrahydrofolic acid",C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
10,(R)-Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
11,(R)-Bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
12,(R)-Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
13,(R)-Gossypol,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O
14,(R)-Praziquantel,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
15,(R)-Propafenone,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
16,(R)-Rolipram,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3
17,(R)-etodolac,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
18,(R)-warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O
19,(S)-Indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
20,(S)-econazole,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
21,"1,10-Phenanthroline",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
22,"1,2-Benzodiazepine",C1=CC=C2C(=C1)C=CC=NN2
24,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,CC(=O)OC1(CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
25,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
26,1-Testosterone,CC12CCC3C(C1CCC2O)CCC4C3(C=CC(=O)C4)C
27,1-benzylimidazole,C1=CC=C(C=C1)CN2C=CN=C2
28,1-deoxymannojirimycin,C1C(C(C(C(N1)CO)O)O)O
29,10-hydroxycamptothecin,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
30,16-Bromoepiandrosterone,CC12CCC(CC1CCC3C2CCC4(C3CC(C4=O)Br)C)O
31,17alpha-Estriol,CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
32,18-methyl-19-nortestosterone,CCC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34
33,19-norandrostenedione,CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34
34,"1alpha,24S-Dihydroxyvitamin D2",CC(C)C(C)(C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)O
35,1alpha-Hydroxyvitamin D5,CCC(CCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)C(C)C
36,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",COC1=CC(=CC(=C1OC)OC)CC2=C[NH+]=C(N=C2N)N
37,"2,4-thiazolidinedione",C1C(=O)NC(=O)S1
38,"2,5-Dimethoxy-4-ethylamphetamine",CCC1=CC(=C(C=C1OC)CC(C)N)OC
39,"2,5-Dimethoxy-4-ethylthioamphetamine",CCSC1=C(C=C(C(=C1)OC)CC(C)N)OC
40,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,C1=CC(=C2C(=C1)N=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N
41,2-Fluoroadenosine,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N
42,2-Methoxyestradiol,CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)OC)O
43,2-Methoxyethanol,COCCO
44,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
