DrugID,DrugName,gene_name,gene_concept_id,interaction_types,interaction_source_db_name,interaction_score,evidence_score
2904.0,Tiagabine,SLC6A1,hgnc:11042,,TdgClinicalTrial,9.623998089687769,4.0
2474.0,Propylthiouracil,TAS2R38,hgnc:9584,agonist,GuideToPharmacology,0.4410999124440227,1.0
1890.0,Methimazole,TAS2R38,hgnc:9584,agonist,GuideToPharmacology,0.4200951547085931,1.0
2445.0,Probenecid,TAS2R38,hgnc:9584,inhibitor,GuideToPharmacology,0.8821998248880455,1.0
3042.0,Ubrogepant,S100A12,hgnc:10489,,TTD,5.293198949328273,1.0
309.0,Atogepant,S100A12,hgnc:10489,,TTD,5.293198949328273,1.0
2580.0,Rimegepant,S100A12,hgnc:10489,,TTD,3.528799299552182,1.0
311.0,Atorvastatin,MYLIP,hgnc:21155,,PharmGKB,3.113646440781337,2.0
2664.0,Selumetinib,MAP2K2,hgnc:6842,,TTD,0.1258038965972257,4.0
2503.0,Quercetin,PKN3,hgnc:17999,inhibitor,MyCancerGenome,0.259470536731778,1.0
1242.0,Febuxostat,XDH,hgnc:12805,,TdgClinicalTrial,0.8401903094171862,8.0
168.0,Allopurinol,XDH,hgnc:12805,,TdgClinicalTrial,0.3150713660314448,8.0
1572.0,Imatinib,PVT1,hgnc:9709,,NCI,0.725095746483325,2.0
1188.0,Ethambutol,ALAS1,hgnc:396,,PharmGKB,7.561712784754675,2.0
210.0,Aminoglutethimide,CYP19A1,hgnc:2594,inhibitor,ChEMBL,1.150695423767016,7.0
1704.0,Letrozole,CYP19A1,hgnc:2594,inhibitor,ChEMBL,0.8799435593512474,13.0
2861.0,Testolactone,CYP19A1,hgnc:2594,inhibitor,ChEMBL,1.91782570627836,5.0
245.0,Anastrozole,CYP19A1,hgnc:2594,inhibitor,ChEMBL,0.6904172542602095,9.0
1227.0,Exemestane,CYP19A1,hgnc:2594,inhibitor,ChEMBL,0.3835651412556719,5.0
208.0,Amiloride,PKD2L1,hgnc:9011,blocker,GuideToPharmacology,0.2756874452775142,1.0
1103.0,Emodin,PIK3CA,hgnc:8975,,DTC,0.0170638264001556,2.0
2503.0,Quercetin,PIK3CA,hgnc:8975,,DTC,0.0082809745765461,3.0
1546.0,Ibandronate,FDPS,hgnc:3631,,TdgClinicalTrial,3.30824934333017,4.0
2587.0,Risedronic acid,FDPS,hgnc:3631,,TdgClinicalTrial,2.894718175413899,7.0
1038.0,Dovitinib,FGFR2,hgnc:3689,inhibitor,ClearityFoundationClinicalTrial,0.1062666737502506,19.0
2087.0,Nintedanib,FGFR2,hgnc:3689,inhibitor,ClearityFoundationClinicalTrial,0.2095723565910515,7.0
460.0,Bortezomib,PSMC4,hgnc:9551,inhibitor,ChEMBL,0.4103254999479281,4.0
1649.0,Ixazomib,PSMC4,hgnc:9551,inhibitor,ChEMBL,0.2151706889970842,1.0
580.0,Carfilzomib,PSMC4,hgnc:9551,inhibitor,ChEMBL,0.5881332165920303,4.0
461.0,Bortezomib D-mannitol,PSMC4,hgnc:9551,inhibitor,ChEMBL,0.2321578486547488,1.0
862.0,Dasatinib,DYRK3,hgnc:3094,,DTC,0.0483397164322216,1.0
744.0,Clofarabine,POLA1,hgnc:9173,inhibitor,ChEMBL,1.167617415293001,3.0
3028.0,Troxacitabine,POLA1,hgnc:9173,inhibitor,ChEMBL,0.5513748905550284,1.0
823.0,Cytarabine,POLA1,hgnc:9173,inhibitor,ChEMBL,0.0743426818725881,1.0
83.0,ALT-2074,NOS2,hgnc:7873,,TTD,1.430594310629263,1.0
798.0,Curcumin,NOS2,hgnc:7873,,TTD,0.0264924872338752,1.0
205.0,Amifampridine,KCNV1,hgnc:18861,blocker,ChEMBL,0.2100475773542965,1.0
842.0,Dalfampridine,KCNV1,hgnc:18861,blocker,ChEMBL,0.2004999602018285,1.0
2820.0,Tedisamil,KCNV1,hgnc:18861,blocker,ChEMBL,0.2205499562220113,1.0
1487.0,Halofuginone,EPRS1,hgnc:3418,,TTD,17.64399649776091,2.0
1423.0,Gemfibrozil,PPARA,hgnc:9232,,TEND,0.317274662297399,6.0
748.0,Clofibrate,PPARA,hgnc:9232,,TEND,0.166191489774828,4.0
426.0,Bezafibrate,PPARA,hgnc:9232,,TEND,0.9694503570198302,5.0
1252.0,Fenofibrate,PPARA,hgnc:9232,,TEND,0.1211812946274787,5.0
167.0,Alloin,TAS2R43,hgnc:18875,agonist,GuideToPharmacology,2.035845749741643,1.0
1551.0,Ibudilast,PDE4C,hgnc:8782,inhibitor,GuideToPharmacology,0.3892058050976671,3.0
266.0,Apremilast,PDE4C,hgnc:8782,inhibitor,GuideToPharmacology,0.1729803578211854,2.0
2584.0,Riociguat,GUCY1A1,hgnc:4685,,TdgClinicalTrial,1.512342556950935,2.0
1372.0,Fostamatinib,SYK,hgnc:11491,,TdgClinicalTrial,1.924799617937553,4.0
2620.0,Roxadustat,EGLN1,hgnc:1232,,TdgClinicalTrial,2.646599474664136,3.0
3059.0,Vadadustat,EGLN1,hgnc:1232,,TdgClinicalTrial,3.528799299552182,3.0
797.0,Crizotinib,MET,hgnc:7029,,ClearityFoundationBiomarkers,0.7482115808073048,47.0
1971.0,Mitoxantrone,RAD52,hgnc:9824,,DTC,0.0162567535298779,1.0
2285.0,Perphenazine,RAD52,hgnc:9824,,DTC,0.0240599952242194,1.0
2996.0,Trifluoperazine,RAD52,hgnc:9824,,DTC,0.0231346107925186,1.0
1971.0,Mitoxantrone,WRN,hgnc:12791,,DTC,0.0168305213015207,1.0
1709.0,Levodopa,WRN,hgnc:12791,,DTC,0.0177922653758933,1.0
2210.0,Oxytetracycline,WRN,hgnc:12791,,DTC,0.0311364644078133,1.0
1809.0,Masoprocol,WRN,hgnc:12791,,DTC,0.0132495593224737,1.0
2564.0,Rhein,WRN,hgnc:12791,,DTC,0.0283058767343757,1.0
460.0,Bortezomib,PSMD7,hgnc:9565,other/unknown,MyCancerGenome,0.3517075713839384,4.0
580.0,Carfilzomib,PSMD7,hgnc:9565,other/unknown,MyCancerGenome,0.5041141856503117,4.0
1328.0,Fluorouracil,PARD3B,hgnc:14446,,PharmGKB,0.4167873188447459,2.0
3162.0,Zuranolone,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0363543883882436,1.0
667.0,Chlordiazepoxide,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.083095744887414,3.0
948.0,Diazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0601727807805411,3.0
1484.0,Halazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0872505321317847,3.0
2218.0,Pagoclone,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0363543883882436,1.0
1886.0,Metharbital,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0290835107105949,1.0
773.0,Clotiazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0872505321317847,3.0
1857.0,Meprobamate,GABRB2,hgnc:4082,agonist,ChEMBL,0.032315011900661,1.0
649.0,Cenobamate,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0223719313158422,1.0
1756.0,Lorazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0698004257054277,3.0
2472.0,Propofol,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0471624498009647,3.0
750.0,Clomethiazole,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0290835107105949,1.0
1114.0,Enflurane,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.018763555297158,1.0
1190.0,Ethchlorvynol,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0727087767764872,2.0
1948.0,Midazolam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0498574469324484,3.0
2444.0,Primidone,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0166191489774828,1.0
1205.0,Etifoxine,GABRB2,hgnc:4082,inhibitor,ChEMBL,0.0363543883882436,1.0
2958.0,Topiramate,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0111859656579211,1.0
1169.0,Estazolam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0758700279406823,3.0
2834.0,Temazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0793186655743497,3.0
1490.0,Halothane,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.018763555297158,1.0
755.0,Clonazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0793186655743497,3.0
897.0,Desflurane,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.018763555297158,1.0
1630.0,Isoflurane,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0193890071403966,1.0
1453.0,Glutethimide,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.034215894953641,1.0
1412.0,Ganaxolone,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.032315011900661,1.0
2877.0,Tetrazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0363543883882436,1.0
737.0,Clobazam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0793186655743497,3.0
2186.0,Oxazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0671157939475267,3.0
2678.0,Sevoflurane,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0157208166003215,1.0
1316.0,Flunitrazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0306142218006262,1.0
2423.0,Prazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0793186655743497,3.0
1885.0,Methaqualone,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0363543883882436,1.0
134.0,Adipiplon,GABRB2,hgnc:4082,agonist,ChEMBL,0.0612284436012524,2.0
1312.0,Flumazenil,GABRB2,hgnc:4082,negative modulator,ChEMBL,0.0306142218006262,1.0
1213.0,Etomidate,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.1368635798145642,4.0
2267.0,Pentobarbital,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0290835107105949,1.0
2795.0,Talbutal,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0290835107105949,1.0
508.0,Butalbital,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0290835107105949,1.0
2988.0,Triazolam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0581670214211898,3.0
1181.0,Eszopiclone,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.034215894953641,1.0
467.0,Brexanolone,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0727087767764872,2.0
2502.0,Quazepam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0290835107105949,1.0
179.0,Alprazolam,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0581670214211898,3.0
1898.0,Methoxyflurane,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.027698581629138,1.0
1923.0,Methyprylon,GABRB2,hgnc:4082,positive modulator,ChEMBL,0.0363543883882436,1.0
796.0,Crenolanib,FLT3,hgnc:3765,,OncoKB,0.6444641577915917,30.0
1952.0,Midostaurin,FLT3,hgnc:3765,,OncoKB,0.4726070490471672,68.0
1437.0,Gilteritinib,FLT3,hgnc:3765,,OncoKB,0.5169139598953392,35.0
2518.0,Quizartinib,FLT3,hgnc:3765,,OncoKB,1.145163234229674,63.0
2073.0,Nicotine,EPB41,hgnc:3377,,PharmGKB,1.230976499843784,2.0
503.0,Bupropion,EPB41,hgnc:3377,,PharmGKB,3.780856392377337,2.0
839.0,Dactolisib,PIK3CA,hgnc:8975,inhibitor,ChEMBL,0.0938510452008559,22.0
176.0,Alpelisib,PIK3CA,hgnc:8975,inhibitor,ChEMBL,0.2559573960023343,45.0
786.0,Copanlisib,PIK3CA,hgnc:8975,inhibitor,ChEMBL,0.1580649182330204,16.0
1285.0,Fimepinostat,PIK3CA,hgnc:8975,inhibitor,ChEMBL,0.0134072921715508,1.0
647.0,Celecoxib,CDKN1A,hgnc:1784,,PharmGKB,0.0542892199931104,2.0
1001.0,Dinoprost,PTGER3,hgnc:9595,,TTD,0.4410999124440227,2.0
2963.0,Tovorafenib,RAF1,hgnc:9829,inhibitor,ChEMBL,0.4410999124440227,2.0
2539.0,Regorafenib,RAF1,hgnc:9829,inhibitor,ChEMBL,0.1002499801009142,3.0
1935.0,Metoprolol,SLC4A1,hgnc:11027,,PharmGKB,4.071691499483287,2.0
2554.0,Repotrectinib,ROS1,hgnc:10261,,PharmGKB,1.30875798197677,9.0
797.0,Crizotinib,ROS1,hgnc:10261,,PharmGKB,1.384375109824317,34.0
1759.0,Lorlatinib,ROS1,hgnc:10261,,PharmGKB,1.38807664755112,15.0
1126.0,Entrectinib,ROS1,hgnc:10261,,PharmGKB,0.1785829605036529,10.0
1637.0,Isosorbide mononitrate,GC,hgnc:4187,,TTD,0.4410999124440227,1.0
2096.0,Nitric Oxide,GC,hgnc:4187,,TTD,0.4410999124440227,1.0
1159.0,Erythrityl tetranitrate,GC,hgnc:4187,,TTD,1.470333041480076,1.0
1636.0,Isosorbide dinitrate,GC,hgnc:4187,,TTD,0.400999920403657,1.0
1907.0,Methylene blue,GC,hgnc:4187,,TTD,0.5513748905550284,1.0
460.0,Bortezomib,PSMB6,hgnc:9543,inhibitor,ChEMBL,0.3517075713839384,4.0
1649.0,Ixazomib,PSMB6,hgnc:9543,inhibitor,ChEMBL,0.1844320191403579,1.0
580.0,Carfilzomib,PSMB6,hgnc:9543,inhibitor,ChEMBL,0.5041141856503117,4.0
461.0,Bortezomib D-mannitol,PSMB6,hgnc:9543,inhibitor,ChEMBL,0.1989924417040704,1.0
1551.0,Ibudilast,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.2281551271262186,3.0
2271.0,Pentoxifylline,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.0805253389857242,3.0
1011.0,Dipyridamole,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.0536835593238161,3.0
2605.0,Roflumilast,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.5475723051029247,3.0
215.0,Aminophylline,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.0912620508504874,1.0
1391.0,GSK-256066,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.2281551271262186,1.0
1065.0,Dyphylline,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.5214974334313569,4.0
266.0,Apremilast,PDE4A,hgnc:8780,inhibitor,ChEMBL,0.2028045574455277,4.0
777.0,Clozapine,TRAT1,hgnc:30698,,PharmGKB,1.150695423767015,2.0
385.0,Benserazide,DDC,hgnc:2719,inhibitor,GuideToPharmacology,3.308249343330171,3.0
2876.0,Tetrandrine,KCNMA1,hgnc:6284,blocker,GuideToPharmacology,0.1844320191403579,1.0
1831.0,Mefenamic acid,KCNMA1,hgnc:6284,activator,GuideToPharmacology,0.0922160095701789,1.0
1176.0,Estradiol valerate,KCNMA1,hgnc:6284,activator,GuideToPharmacology,0.0286894251996112,1.0
774.0,Clotrimazole,KCNMA1,hgnc:6284,blocker,GuideToPharmacology,0.035861781499514,1.0
460.0,Bortezomib,PSMD3,hgnc:9560,inhibitor,ChEMBL,0.4103254999479281,4.0
1649.0,Ixazomib,PSMD3,hgnc:9560,inhibitor,ChEMBL,0.2151706889970842,1.0
580.0,Carfilzomib,PSMD3,hgnc:9560,inhibitor,ChEMBL,0.5881332165920303,4.0
461.0,Bortezomib D-mannitol,PSMD3,hgnc:9560,inhibitor,ChEMBL,0.2321578486547488,1.0
1025.0,Dolasetron,HTR3B,hgnc:5298,,TdgClinicalTrial,0.4410999124440227,1.0
1465.0,Granisetron,HTR3B,hgnc:5298,,TdgClinicalTrial,0.2646599474664136,1.0
