Ligand ID,Ligand,Target,Target ID,Target Gene Symbol,Target UniProt ID,Target Ensembl Gene ID,Target Species,Approved,Type,Action,Primary Target,Affinity Median,Affinity Units,PubMed ID
8737,IGN523,4F2hc,890,SLC3A2,P08195,ENSG00000168003,Human,False,Antibody,Binding,True,8.890000343322754,pKd,
7277,probucol,ABCA1,756,ABCA1,O95477,ENSG00000165029,Human,True,Inhibitor,Inhibition,True,,-,15514211|15140889
9183,bihelical apoA-I mimetic peptide 5A,ABCA1,756,ABCA1,O95477,ENSG00000165029,Human,False,,Binding,False,,-,18805791
10372,compound 14 [PMID: 30925062],ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Competitive,False,5.760000228881836,pIC50,30925062
10372,compound 14 [PMID: 30925062],ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Competitive,False,6.170000076293945,pIC50,30925062
11741,biricodar,ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Inhibition,False,5.300000190734863,pIC50,11844674
13578,elacridar,ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Inhibition,False,7.400000095367432,pKi,12636153
12787,encequidar,ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Inhibition,False,7.28000020980835,pIC50,33729781
11787,tariquidar,ABCB1,768,Abcb1a,P21447,ENSMUSG00000040584,Mouse,False,Inhibitor,Inhibition,False,7.420000076293945,pIC50,10098671
11745,valspodar,ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Inhibition,False,5.889999866485596,pKi,10198227
11786,WS-898,ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Inhibition,False,8.300000190734863,pIC50,34723530
11788,zosuquidar,ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,Inhibitor,Inhibition,False,7.230000019073486,pKi,10411602
13577,WS-917,ABCB1,768,ABCB1,P08183,ENSG00000085563,Human,False,,Binding,False,8.300000190734863,pIC50,39425773
4545,glycochenodeoxycholic acid,ABCB11,778,ABCB11,O95342,ENSG00000073734,Human,False,,Binding,False,5.150000095367432,pKi,12404239
10372,compound 14 [PMID: 30925062],ABCC1,779,ABCC1,P33527,ENSG00000103222,Human,False,Inhibitor,Competitive,False,5.300000190734863,pIC50,30925062
11741,biricodar,ABCC1,779,ABCC1,P33527,ENSG00000103222,Human,False,Inhibitor,Inhibition,False,5.289999961853027,pIC50,11844674
8762,WP814,ABCC1,779,ABCC1,P33527,ENSG00000103222,Human,False,Inhibitor,Inhibition,False,7.150000095367432,pKi,9647783
8776,PAK-104P,ABCC2,780,ABCC2,Q92887,ENSG00000023839,Human,False,Inhibitor,Inhibition,False,5.429999828338623,pKi,10570049
8802,estradiol disulfate,ABCC4,782,ABCC4,O15439,ENSG00000125257,Human,False,Inhibitor,Inhibition,False,6.699999809265137,pIC50,12523936
8829,compound 2 [PMID: 22380603],ABCC5,783,ABCC5,O15440,ENSG00000114770,Human,False,Inhibitor,Inhibition,False,7.190000057220459,pKi,22380603
4743,sildenafil,ABCC5,783,ABCC5,O15440,ENSG00000114770,Human,True,Inhibitor,Inhibition,False,5.920000076293945,pKi,22380603
8808,compound 13b [PMID: 19101153],ABCC9,2746,ABCC9,O60706,ENSG00000069431,Human,False,Allosteric modulator,Positive,False,6.170000076293945,pEC50,19101153
1024,cyclosporin A,ABCG2,792,ABCG2,Q9UNQ0,ENSG00000118777,Human,True,Inhibitor,Inhibition,False,6.300000190734863,pKi,11437380
