DrugName,Reason
Hydroxyamphetamine,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Sucralfate,404
Iron polymaltose,404
Iron sucrose,404
Hydrolyzed Cephalothin,404
Colistimethate,404
Nitroprusside,404
Pentosan polysulfate,404
Gleptoferron,404
Polythiazide,404
Benzylpenicilloyl polylysine,404
Ivermectin,404
Kitasamycin,404
Radium Ra-223 cation,404
Sevelamer,404
Octylphenoxy polyethoxyethanol,404
Kaolin,404
Sulfamerazine,502
"1,6-Fructose Diphosphate (Linear Form)",404
Dihematoporphyrin ether,404
Cephalosporin analog,404
