DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
23,"1,6-Fructose Diphosphate (Linear Form)",,,,,,,,,,Unresolved
83,ALT-2074,130165.0,CC1(CN[Se]C2=CC=CC=C21)C,226.19,,12.0,1.0,1.0,0.0,PubChem,Available
149,Alcloxa,136146352.0,C1(C(=O)NC(=N1)[O-])NC(=O)N.[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-],314.55,,124.0,7.0,9.0,1.0,PubChem,Available
155,Alexitol sodium,91663271.0,C(C(C(C(C(CO)O)O)O)O)O.C(=O)([O-])[O-].[OH-].[Na+].[Al+3],309.16,,186.0,7.0,10.0,5.0,PubChem,Available
170,Almasilate,131704329.0,O.[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-].[Mg+2].[Al+3].[Al+3],280.45,,185.0,1.0,9.0,0.0,PubChem,Available
174,Aloglutamol,72941505.0,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(CO)(CO)N)O.[OH-].[OH-].[Al+3],377.28,,230.0,11.0,13.0,7.0,PubChem,Available
184,Aluminium,5359268.0,[Al],26.981538,,0.0,0.0,0.0,0.0,PubChem,Available
185,Aluminium acetotartrate,76968033.0,CC(=O)[O-].C(C(C(=O)[O-])O)(C(=O)[O-])O.[Al+3],234.1,,161.0,2.0,8.0,1.0,PubChem,Available
186,Aluminium clofibrate,10390009.0,CC(C)(C(=O)[O-])OC1=CC=C(C=C1)Cl.CC(C)(C(=O)[O-])OC1=CC=C(C=C1)Cl.[OH-].[Al+3],471.3,,99.7,1.0,7.0,4.0,PubChem,Available
187,Aluminium glycinate,73415751.0,C(C(=O)[O-])N.O.[OH-].[OH-].[Al+3],153.07,,69.2,4.0,6.0,0.0,PubChem,Available
188,Aluminium nicotinate,16098.0,C1=CC(=CN=C1)C(=O)[O-].C1=CC(=CN=C1)C(=O)[O-].C1=CC(=CN=C1)C(=O)[O-].[Al+3],393.3,,159.0,0.0,9.0,0.0,PubChem,Available
189,Aluminium phosphate,64655.0,[O-]P(=O)([O-])[O-].[Al+3],121.953,,86.3,0.0,4.0,0.0,PubChem,Available
190,Aluminium tristearate,12496.0,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Al+3],877.4,,120.0,0.0,6.0,45.0,PubChem,Available
191,Aluminum chloride,24012.0,[Al](Cl)(Cl)Cl,133.34,,0.0,0.0,0.0,0.0,PubChem,Available
192,Aluminum chlorohydrate,71586946.0,O.[OH-].[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-],192.47,,6.0,6.0,7.0,0.0,PubChem,Available
193,Aluminum sulfate,24850.0,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3],342.2,,266.0,0.0,12.0,0.0,PubChem,Available
215,Aminophylline,9433.0,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,420.43,,191.0,4.0,8.0,1.0,PubChem,Available
226,Ammonium bicarbonate,14013.0,C(=O)(O)[O-].[NH4+],79.056,,61.4,2.0,3.0,0.0,PubChem,Available
227,Ammonium lactate,62358.0,CC(C(=O)[O-])O.[NH4+],107.11,,61.4,2.0,3.0,0.0,PubChem,Available
228,Ammonium tetrathiomolybdate,15251598.0,[NH4+].[NH4+].[SH-].[SH-].S=[Mo]=S,262.3,,68.2,4.0,4.0,0.0,PubChem,Available
255,Anisotropine methylbromide,657201.0,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-],362.3,,26.3,0.0,3.0,7.0,PubChem,Available
287,Arsenic trioxide,14888.0,[O-2].[O-2].[O-2].[As+3].[As+3],197.841,,3.0,0.0,3.0,0.0,PubChem,Available
314,Atracurium besylate,47320.0,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-],1243.5,,258.0,0.0,18.0,26.0,PubChem,Available
317,Auranofin,16667669.0,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],678.5,,115.0,0.0,10.0,12.0,PubChem,Available
319,Aurothioglucose,6104.0,C(C1C(C(C(C(O1)[S-])O)O)O)O.[Au+],392.18,,91.2,4.0,6.0,1.0,PubChem,Available
355,Barbexaclone,71196.0,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2.CC(CC1CCCCC1)NC,387.5,,87.3,3.0,4.0,5.0,PubChem,Available
404,Benzylpenicilloyl polylysine,,,,,,,,,,Unresolved
