DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
Pentolinium,5850,C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C,240.43,2.4,0.0,0,0,6
Lorazepam,3958,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,321.2,2.4,61.7,2,3,1
Ebastine,3191,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,469.7,7.2,29.5,0,3,10
Chlorotrianisene,11289,COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC,380.9,6.4,27.7,0,3,6
Dihydromorphine,5359421,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(CC4)O,287.35,1.8,52.9,2,4,0
Dexrazoxane,71384,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,268.27,-1.4,98.8,2,6,3
Alfentanil,51263,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,416.5,2.2,81.1,0,6,9
Colchicine,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.4,1.0,83.1,1,6,5
Amikacin,37768,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,585.6,-7.9,332.0,13,17,10
Azosemide,2273,C1=CSC(=C1)CNC2=CC(=C(C=C2C3=NNN=N3)S(=O)(=O)N)Cl,370.8,1.5,163.0,3,8,5
Ethylmorphine,5359271,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1,313.4,1.5,41.9,1,4,2
Methylprednisolone aceponate,63019,CCC(=O)OC1(CCC2C1(CC(C3C2CC(C4=CC(=O)C=CC34C)C)O)C)C(=O)COC(=O)C,472.6,3.8,107.0,1,7,7
Tenofovir disoproxil,5481350,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C(N=CN=C21)N)OCOC(=O)OC(C)C,519.4,1.6,185.0,1,14,17
Pipamperone,4830,C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N,375.5,2.0,66.6,1,5,7
Oxyphenbutazone,4641,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,324.4,2.7,60.9,1,3,5
Desloratadine,124087,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,310.8,4.5,24.9,1,2,0
Galantamine,9651,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,287.35,1.8,41.9,1,4,1
Azelastine,2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,381.9,4.4,35.9,0,3,3
Suvorexant,24965990,CC1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,450.9,4.9,80.3,0,6,3
Brilaroxazine,46861612,C1CN(CCN1CCCCOC2=CC3=C(C=C2)OCC(=O)N3)C4=C(C(=CC=C4)Cl)Cl,450.4,4.4,54.0,1,5,7
Procarbazine,4915,CC(C)NC(=O)C1=CC=C(C=C1)CNNC,221.30,0.1,53.2,3,3,5
Goserelin,5311128,CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,1269.4,-1.5,496.0,17,16,32
Hydrocortisone butyrate,26133,CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO,432.5,3.2,101.0,2,6,6
Triamcinolone,31307,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,394.4,1.2,115.0,4,7,2
9-(N-methyl-L-isoleucine)-cyclosporin A,6473876,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C(C)CC)C)C,1202.6,7.5,279.0,5,12,15
Tetryzoline,5419,C1CC(C2=CC=CC=C2C1)C3=NCCN3,200.28,1.8,24.4,1,1,1
Xipamide,26618,CC1=C(C(=CC=C1)C)NC(=O)C2=CC(=C(C=C2O)Cl)S(=O)(=O)N,354.8,2.9,118.0,3,5,3
Zimelidine,5365247,CN(C)CC=C(C1=CC=C(C=C1)Br)C2=CN=CC=C2,317.22,3.9,16.1,0,2,4
Arbaclofen,44602,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,213.66,-1.0,63.3,2,3,4
Levosulpiride,688272,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,341.4,0.6,110.0,2,6,6
"Dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1H,5H)-pyrimidinedione",3003157,C1=CC=C(C(=C1)C2=CC=C(O2)CC3C(=O)NC(=S)NC3=O)C(F)(F)F,368.3,3.1,103.0,2,7,3
Droxicam,65679,CN1C2=C(C3=CC=CC=C3S1(=O)=O)OC(=O)N(C2=O)C4=CC=CC=N4,357.3,1.2,105.0,0,7,1
Selexipag,9913767,CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,496.6,3.8,110.0,1,7,12
Palonosetron,6337614,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5,296.4,2.8,23.6,0,2,1
Cortivazol,66249,CC1CC2C3C=C(C4=CC5=C(CC4(C3C(CC2(C1(C(=O)COC(=O)C)O)C)O)C)C=NN5C6=CC=CC=C6)C,530.7,3.9,102.0,2,6,5
Methyldopa,38853,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,211.21,-1.9,104.0,4,5,3
Cephaloglycin,19150,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,405.4,-3.0,164.0,3,8,7
Guacetisal,68749,CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2OC,286.28,2.9,61.8,0,5,6
PF-00610355,11505444,CC(C)(CC1=CC=CC(=C1)CC(=O)NCC2=CC(=CC=C2)C3=CC=C(C=C3)O)NCC(C4=CC(=C(C=C4)O)NS(=O)(=O)C)O,617.8,3.8,156.0,6,8,13
Oxabolone cipionate,68952,CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=C(C(=O)CCC35)O,414.6,5.7,63.6,1,4,5
Azathioprine,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],277.27,0.1,143.0,1,7,2
Lanicemine,9794203,C1=CC=C(C=C1)C(CC2=CC=CC=N2)N,198.26,1.7,38.9,1,2,3
Prednisolone hemisuccinate,656804,CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)O)O)CCC4=CC(=O)C=CC34C)O,460.5,1.8,138.0,3,8,7
Aripiprazole,60795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,448.4,4.6,44.8,1,4,7
Cyclobenzaprine,2895,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,275.4,5.2,3.2,0,1,3
Lobeglitazone,9826451,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC(=NC=N3)OC4=CC=C(C=C4)OC,480.5,4.3,128.0,1,9,10
Lactulose,11333,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,342.30,-4.3,190.0,8,11,5
GW842166,10253143,C1COCCC1CNC(=O)C2=CN=C(N=C2C(F)(F)F)NC3=C(C=C(C=C3)Cl)Cl,449.3,4.1,76.1,2,8,5
Nevirapine,4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,266.30,2.0,58.1,1,4,1
Dofetilide,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,441.6,1.8,122.0,2,8,11
Periciazine,4747,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,365.5,3.5,75.8,1,5,4
Mersalyl,9806195,COC(CNC(=O)C1=CC=CC=C1OCC(=O)[O-])C[Hg+].[OH-].[Na+],505.85,,88.7,2,6,7
Megestrol acetate,11683,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,384.5,3.1,60.4,0,4,3
Isoetharine,3762,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C,239.31,1.7,72.7,4,4,5
Flupirtine,53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,304.32,2.4,89.3,3,6,6
Dabrafenib,44462760,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,519.6,4.8,147.0,2,11,6
Surinabant,9849616,CCC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Br,522.3,7,50.2,1,3,5
Clorgiline,4380,CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C,272.17,4.2,12.5,0,2,6
Ethacizine,107841,CCN(CC)CCC(=O)N1C2=CC=CC=C2SC3=C1C=C(C=C3)NC(=O)OCC,413.5,4.1,87.2,1,5,8
Dexpramipexole,59868,CCCNC1CCC2=C(C1)SC(=N2)N,211.33,1.9,79.2,2,4,3
Vilanterol,10184665,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl,486.4,3.8,91.2,4,6,16
Pralsetinib,129073603,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)NC(C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,533.6,3.1,136.0,3,9,8
Naratriptan,4440,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,335.5,2,73.6,2,4,5
Pregabalin,5486971,CC(C)CC(CC(=O)O)CN,159.23,-1.6,63.3,2,3,5
Methimazole,1349907,CN1C=CNC1=S,114.17,-0.3,47.4,1,1,0
Azapropazone,26098,CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C,300.36,4,56.2,0,3,3
