DrugID,DrugName,CID,Property,Status,Reason
257,Antazoline,2200,MolecularWeight,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/MolecularWeight/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,ExactMass,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/ExactMass/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,MonoisotopicMass,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/MonoisotopicMass/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,HeavyAtomCount,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/HeavyAtomCount/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,FormalCharge,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/Charge/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,XLogP,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/XLogP/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,TPSA,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/TPSA/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,HBondDonorCount,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/HBondDonorCount/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,HBondAcceptorCount,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/HBondAcceptorCount/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
257,Antazoline,2200,RotatableBondCount,Failed,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/cid/2200/property/RotatableBondCount/JSON (Caused by NameResolutionError(""HTTPSConnection(host='pubchem.ncbi.nlm.nih.gov', port=443): Failed to resolve 'pubchem.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)""))"
