OriginalDrugName,CandidateName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,CandidateStatus
Sucralfate,,,,,,,,,,No candidate found
Iron polymaltose,,,,,,,,,,No candidate found
Iron sucrose,,,,,,,,,,No candidate found
Hydrolyzed Cephalothin,,,,,,,,,,No candidate found
Colistimethate,,,,,,,,,,No candidate found
Nitroprusside,,,,,,,,,,No candidate found
Pentosan polysulfate,,,,,,,,,,No candidate found
Gleptoferron,,,,,,,,,,No candidate found
Polythiazide,,,,,,,,,,No candidate found
Benzylpenicilloyl polylysine,,,,,,,,,,No candidate found
Ivermectin,,,,,,,,,,No candidate found
Kitasamycin,,,,,,,,,,No candidate found
Radium Ra-223 cation,,,,,,,,,,No candidate found
Sevelamer,,,,,,,,,,No candidate found
Octylphenoxy polyethoxyethanol,,,,,,,,,,No candidate found
Kaolin,,,,,,,,,,No candidate found
"1,6-Fructose Diphosphate (Linear Form)",,,,,,,,,,No candidate found
Dihematoporphyrin ether,,,,,,,,,,No candidate found
Cephalosporin analog,,,,,,,,,,No candidate found
