DrugID,DrugName,CID,ConnectivitySMILES,RecoveryStatus
23,"1,6-Fructose Diphosphate (Linear Form)",,,CID_Not_Found
404,Benzylpenicilloyl polylysine,,,CID_Not_Found
653,Cephalosporin analog,,,CID_Not_Found
783,Colistimethate,,,CID_Not_Found
979,Dihematoporphyrin ether,,,CID_Not_Found
1445,Gleptoferron,,,CID_Not_Found
1528,Hydrolyzed Cephalothin,,,CID_Not_Found
1621,Iron polymaltose,,,CID_Not_Found
1622,Iron sucrose,,,CID_Not_Found
1646,Ivermectin,,,CID_Not_Found
1656,Kaolin,,,CID_Not_Found
1664,Kitasamycin,,,CID_Not_Found
2101,Nitroprusside,,,CID_Not_Found
2136,Octylphenoxy polyethoxyethanol,,,CID_Not_Found
2269,Pentosan polysulfate,,,CID_Not_Found
2397,Polythiazide,,,CID_Not_Found
2524,Radium Ra-223 cation,,,CID_Not_Found
2677,Sevelamer,,,CID_Not_Found
2737,Sucralfate,,,CID_Not_Found
