STITCH_ID,SIDER_DrugName,PubChemCID,DrugID,MasterDrugName
CID100000137,5-aminolevulinic,137,212.0,Aminolevulinic acid
CID100000175,acetate,175,107.0,Acetate
CID100000187,acetylcholine,187,114.0,Acetylcholine
CID100000244,benzyl,244,402.0,Benzyl alcohol
CID100000247,betaine,247,414.0,Betaine
CID100000271,calcium,271,533.0,Calcium cation
CID100000305,choline,305,693.0,Choline
CID100000312,chloride,312,669.0,Chloride ion
CID100000444,bupropion,444,503.0,Bupropion
CID100000679,DMSO,679,997.0,Dimethyl sulfoxide
CID100000681,dopamine,681,1029.0,Dopamine
CID100000753,glycerol,753,1455.0,Glycerin
CID100000774,histamine,774,1505.0,Histamine
CID100000813,potassium,813,2405.0,Potassium cation
CID100000888,magnesium,888,1794.0,Magnesium cation
CID100000896,melatonin,896,1836.0,Melatonin
CID100000923,sodium,923,2697.0,Sodium cation
CID100000946,nitrite,946,2097.0,Nitrite
CID100000948,nitrous,948,2102.0,Nitrous oxide
CID100001046,pyrazinamide,1046,2496.0,Pyrazinamide
CID100001130,thiamine,1130,2887.0,Thiamine
CID100001727,4-AP,1727,842.0,Dalfampridine
CID100001775,phenytoin,1775,2327.0,Phenytoin
CID100001978,acebutolol,1978,99.0,Acebutolol
CID100001983,acetaminophen,1983,106.0,Acetaminophen
CID100001986,acetazolamide,1986,108.0,Acetazolamide
CID100001993,methacholine,1993,1880.0,Methacholine
CID100002082,albendazole,2082,144.0,Albendazole
CID100002083,salbutamol,2083,145.0,Albuterol
CID100002088,alendronate,2088,154.0,Alendronic acid
CID100002092,alfuzosin,2092,159.0,Alfuzosin
CID100002099,alosetron,2099,175.0,Alosetron
CID100002118,alprazolam,2118,179.0,Alprazolam
CID100002123,hexamethylmelamine,2123,183.0,Altretamine
CID100002130,amantadine,2130,197.0,Amantadine
CID100002140,diatrizoate,2140,947.0,Diatrizoate
CID100002141,amifostine,2141,206.0,Amifostine
CID100002145,aminoglutethimide,2145,210.0,Aminoglutethimide
CID100002148,p-aminohippurate,2148,211.0,Aminohippuric acid
CID100002159,amisulpride,2159,219.0,Amisulpride
CID100002160,amitriptyline,2160,222.0,Amitriptyline
CID100002162,amlodipine,2162,224.0,Amlodipine
CID100002170,amoxapine,2170,232.0,Amoxapine
CID100002179,amsacrine,2179,241.0,Amsacrine
CID100002187,anastrozole,2187,245.0,Anastrozole
CID100002216,apraclonidine,2216,264.0,Apraclonidine
CID100002244,aspirin,2244,119.0,Acetylsalicylic acid
CID100002265,azathioprine,2265,333.0,Azathioprine
CID100002266,azelaic,2266,334.0,Azelaic acid
CID100002267,azelastine,2267,335.0,Azelastine
CID100002315,bendrofluazide,2315,378.0,Bendroflumethiazide
CID100002337,benzocaine,2337,394.0,Benzocaine
CID100002351,bepridil,2351,407.0,Bepridil
CID100002366,betahistine,2366,413.0,Betahistine
CID100002369,betaxolol,2369,417.0,Betaxolol
CID100002370,bethanechol,2370,418.0,Bethanechol
CID100002391,bisacodyl,2391,442.0,Bisacodyl
CID100002405,bisoprolol,2405,448.0,Bisoprolol
CID100002431,bretylium,2431,466.0,Bretylium
CID100002435,brimonidine,2435,471.0,Brimonidine
CID100002441,bromazepam,2441,476.0,Bromazepam
CID100002471,bumetanide,2471,497.0,Bumetanide
CID100002474,bupivacaine,2474,500.0,Bupivacaine
CID100002477,buspirone,2477,504.0,Buspirone
CID100002478,busulfan,2478,505.0,Busulfan
CID100002479,butabarbital,2479,506.0,Butabarbital
CID100002519,caffeine,2519,529.0,Caffeine
CID100002540,candesartan,2540,545.0,Candesartan cilexetil
CID100002541,candesartan,2541,544.0,Candesartan
CID100002551,carbachol,2551,565.0,Carbamoylcholine
CID100002554,carbamazepine,2554,564.0,Carbamazepine
CID100002564,carbinoxamine,2564,570.0,Carbinoxamine
CID100002576,carisoprodol,2576,585.0,Carisoprodol
CID100002578,BCNU,2578,588.0,Carmustine
CID100002583,carteolol,2583,592.0,Carteolol
CID100002585,carvedilol,2585,593.0,Carvedilol
CID100002662,celecoxib,2662,647.0,Celecoxib
CID100002663,celiprolol,2663,648.0,Celiprolol
CID100002678,cetirizine,2678,660.0,Cetirizine
CID100002708,chlorambucil,2708,663.0,Chlorambucil
CID100002712,chlordiazepoxide,2712,667.0,Chlordiazepoxide
CID100002719,chloroquine,2719,676.0,Chloroquine
CID100002720,thiazide,2720,677.0,Chlorothiazide
CID100002725,chlorpheniramine,2725,679.0,Chlorpheniramine
CID100002726,chlorpromazine,2726,684.0,Chlorpromazine
CID100002727,chlorpropamide,2727,685.0,Chlorpropamide
CID100002733,chlorzoxazone,2733,689.0,Chlorzoxazone
CID100002749,ciclopirox,2749,700.0,Ciclopirox
CID100002754,cilostazol,2754,709.0,Cilostazol
CID100002756,cimetidine,2756,710.0,Cimetidine
CID100002762,cinoxacin,2762,721.0,Cinoxacin
CID100002764,ciprofloxacin,2764,723.0,Ciprofloxacin
CID100002771,citalopram,2771,726.0,Citalopram
CID100002789,clobazam,2789,737.0,Clobazam
CID100002794,clofazimine,2794,745.0,Clofazimine
CID100002801,clomipramine,2801,753.0,Clomipramine
CID100002802,clonazepam,2802,755.0,Clonazepam
CID100002803,clonidine,2803,756.0,Clonidine
CID100002809,clorazepate,2809,764.0,Clorazepic acid
CID100002812,clotrimazole,2812,774.0,Clotrimazole
CID100002895,cyclobenzaprine,2895,807.0,Cyclobenzaprine
CID100002905,cyclopentolate,2905,812.0,Cyclopentolate
CID100002907,cyclophosphamide,2907,813.0,Cyclophosphamide
CID100002913,cyproheptadine,2913,820.0,Cyproheptadine
CID100002955,dapsone,2955,853.0,Dapsone
CID100002972,deferiprone,2972,873.0,Deferiprone
CID100002995,desipramine,2995,898.0,Desipramine
CID100003007,amphetamine,3007,235.0,Amphetamine
CID100003009,DFMO,3009,1079.0,Eflornithine
CID100003016,diazepam,3016,948.0,Diazepam
CID100003019,diazoxide,3019,949.0,Diazoxide
CID100003038,dichlorphenamide,3038,956.0,Diclofenamide
CID100003042,dicyclomine,3042,959.0,Dicyclomine
CID100003059,diflunisal,3059,974.0,Diflunisal
CID100003080,dimercaprol,3080,994.0,Dimercaprol
CID100003105,dipivefrin,3105,1009.0,Dipivefrin
CID100003108,dipyridamole,3108,1011.0,Dipyridamole
CID100003114,disopyramide,3114,1014.0,Disopyramide
CID100003117,disulfiram,3117,1016.0,Disulfiram
CID100003156,doxapram,3156,1040.0,Doxapram
CID100003157,doxazosin,3157,1041.0,Doxazosin
CID100003168,droperidol,3168,1052.0,Droperidol
CID100003182,dyphylline,3182,1065.0,Dyphylline
CID100003202,edrophonium,3202,1075.0,Edrophonium
CID100003219,emedastine,3219,1099.0,Emedastine
CID100003226,enflurane,3226,1114.0,Enflurane
CID100003241,epinastine,3241,1136.0,Epinastine
CID100003261,estazolam,3261,1169.0,Estazolam
CID100003278,ethacrynic,3278,1182.0,Etacrynic acid
CID100003291,ethosuximide,3291,1194.0,Ethosuximide
CID100003292,ethotoin,3292,1195.0,Ethotoin
CID100003305,etidronate,3305,1204.0,Etidronic acid
CID100003331,felbamate,3331,1244.0,Felbamate
CID100003333,felodipine,3333,1247.0,Felodipine
CID100003339,fenofibrate,3339,1252.0,Fenofibrate
CID100003342,fenoprofen,3342,1255.0,Fenoprofen
CID100003345,fentanyl,3345,1263.0,Fentanyl
CID100003348,fexofenadine,3348,1278.0,Fexofenadine
CID100003354,flavoxate,3354,1291.0,Flavoxate
CID100003365,fluconazole,3365,1305.0,Fluconazole
CID100003366,5-fluorocytosine,3366,1306.0,Flucytosine
CID100003372,fluphenazine,3372,1332.0,Fluphenazine
CID100003373,flumazenil,3373,1312.0,Flumazenil
CID100003380,flunitrazepam,3380,1316.0,Flunitrazepam
CID100003385,5-FU,3385,1328.0,Fluorouracil
CID100003393,flurazepam,3393,1339.0,Flurazepam
CID100003397,flutamide,3397,1343.0,Flutamide
CID100003406,4-methylpyrazole,3406,1350.0,Fomepizole
CID100003440,furosemide,3440,1382.0,Furosemide
CID100003446,gabapentin,3446,1395.0,Gabapentin
CID100003463,gemfibrozil,3463,1423.0,Gemfibrozil
CID100003467,gentamicin,3467,1428.0,Gentamicin
CID100003475,gliclazide,3475,1447.0,Gliclazide
CID100003476,glimepiride,3476,1448.0,Glimepiride
CID100003478,glipizide,3478,1449.0,Glipizide
CID100003488,glibenclamide,3488,1454.0,Glyburide
CID100003494,glycopyrrolate,3494,1459.0,Glycopyrronium
CID100003519,guanfacine,3519,1476.0,Guanfacine
CID100003520,guanidinium,3520,1477.0,Guanidine
CID100003559,haloperidol,3559,1489.0,Haloperidol
CID100003637,hydralazine,3637,1512.0,Hydralazine
CID100003639,hydrochlorothiazide,3639,1513.0,Hydrochlorothiazide
CID100003647,hydroflumethiazide,3647,1525.0,Hydroflumethiazide
CID100003652,hydroxychloroquine,3652,1533.0,Hydroxychloroquine
CID100003657,hydroxyurea,3657,1538.0,Hydroxyurea
CID100003658,hydroxyzine,3658,1539.0,Hydroxyzine
CID100003675,phenelzine,3675,2295.0,Phenelzine
CID100003676,lidocaine,3676,1720.0,Lidocaine
CID100003690,ifosfamide,3690,1566.0,Ifosfamide
CID100003696,imipramine,3696,1578.0,Imipramine
CID100003715,indomethacin,3715,1594.0,Indomethacin
CID100003724,iodixanol,3724,1601.0,Iodixanol
CID100003730,iohexol,3730,1604.0,Iohexol
CID100003736,iopromide,3736,1605.0,Iopromide
CID100003737,sodium,3737,1606.0,Iothalamic acid
CID100003741,ioversol,3741,1607.0,Ioversol
CID100003743,ioxilan,3743,1608.0,Ioxilan
CID100003749,irbesartan,3749,1617.0,Irbesartan
CID100003759,isocarboxazid,3759,1627.0,Isocarboxazid
CID100003763,isoflurane,3763,1630.0,Isoflurane
CID100003767,isoniazid,3767,1632.0,Isoniazid
CID100003779,isoproterenol,3779,1633.0,Isoprenaline
CID100003784,isradipine,3784,1642.0,Isradipine
CID100003826,ketorolac,3826,1662.0,Ketorolac
CID100003827,ketotifen,3827,1663.0,Ketotifen
CID100003869,labetalol,3869,1667.0,Labetalol
CID100003878,lamotrigine,3878,1674.0,Lamotrigine
CID100003899,leflunomide,3899,1692.0,Leflunomide
CID100003902,letrozole,3902,1704.0,Letrozole
CID100003948,lomefloxacin,3948,1742.0,Lomefloxacin
CID100003950,lomustine,3950,1747.0,Lomustine
CID100003957,loratadine,3957,1755.0,Loratadine
CID100003958,lorazepam,3958,1756.0,Lorazepam
CID100003961,losartan,3961,1764.0,Losartan
CID100003964,loxapine,3964,1767.0,Loxapine
CID100004004,malathion,4004,1799.0,Malathion
CID100004011,maprotiline,4011,1805.0,Maprotiline
CID100004031,mebeverine,4031,1816.0,Mebeverine
CID100004033,nitrogen,4033,1822.0,Mechlorethamine
CID100004034,monamine,4034,1823.0,Meclizine
CID100004044,mefenamic,4044,1831.0,Mefenamic acid
CID100004054,memantine,4054,1844.0,Memantine
CID100004057,Cantril,4057,1847.0,Mepenzolate
CID100004058,meperidine,4058,1848.0,Meperidine
CID100004060,mephenytoin,4060,1853.0,Mephenytoin
CID100004062,mepivacaine,4062,1855.0,Mepivacaine
CID100004064,meprobamate,4064,1857.0,Meprobamate
CID100004075,5-ASA,4075,1865.0,Mesalazine
CID100004086,metaproterenol,4086,2162.0,Orciprenaline
CID100004091,metformin,4091,1879.0,Metformin
CID100004101,methenamine,4101,1889.0,Methenamine
CID100004107,methocarbamol,4107,1891.0,Methocarbamol
CID100004114,8-MOP,4114,1897.0,Methoxsalen
CID100004121,methyclothiazide,4121,1902.0,Methyclothiazide
CID100004168,metoclopramide,4168,1931.0,Metoclopramide
CID100004170,metolazone,4170,1933.0,Metolazone
CID100004171,metoprolol,4171,1935.0,Metoprolol
CID100004173,metronidazole,4173,1937.0,Metronidazole
CID100004174,metyrapone,4174,1938.0,Metyrapone
CID100004184,mianserin,4184,1942.0,Mianserin
CID100004189,miconazole,4189,1946.0,Miconazole
CID100004192,midazolam,4192,1948.0,Midazolam
CID100004195,midodrine,4195,1950.0,Midodrine
CID100004197,milrinone,4197,1956.0,Milrinone
CID100004201,minoxidil,4201,1960.0,Minoxidil
CID100004211,mitotane,4211,1970.0,Mitotane
CID100004212,mitoxantrone,4212,1971.0,Mitoxantrone
CID100004235,moclobemide,4235,1977.0,Moclobemide
CID100004409,nabumetone,4409,2018.0,Nabumetone
CID100004421,nalidixic,4421,2027.0,Nalidixic acid
CID100004436,naphazoline,4436,2039.0,Naphazoline
CID100004440,naratriptan,4440,2042.0,Naratriptan
CID100004449,nefazodone,4449,2052.0,Nefazodone
CID100004456,neostigmine,4456,2059.0,Neostigmine
CID100004463,nevirapine,4463,2065.0,Nevirapine
CID100004485,nifedipine,4485,2075.0,Nifedipine
CID100004493,nilutamide,4493,2082.0,Nilutamide
CID100004497,nimodipine,4497,2085.0,Nimodipine
CID100004499,nisoldipine,4499,2092.0,Nisoldipine
CID100004506,nitrazepam,4506,2094.0,Nitrazepam
CID100004510,nitroglycerin,4510,2100.0,Nitroglycerin
CID100004513,nizatidine,4513,2103.0,Nizatidine
CID100004539,norfloxacin,4539,2118.0,Norfloxacin
CID100004543,nortriptyline,4543,2122.0,Nortriptyline
CID100004595,ondansetron,4595,2157.0,Ondansetron
CID100004601,orphenadrine,4601,2167.0,Orphenadrine
CID100004614,oxaprozin,4614,2184.0,Oxaprozin
CID100004616,oxazepam,4616,2186.0,Oxazepam
CID100004631,oxprenolol,4631,2195.0,Oxprenolol
CID100004634,oxybutynin,4634,2198.0,Oxybutynin
CID100004649,APAs,4649,217.0,Aminosalicylic acid
CID100004679,pantoprazole,4679,2228.0,Pantoprazole
CID100004680,papaverine,4680,2230.0,Papaverine
CID100004735,pentamidine,4735,2263.0,Pentamidine
CID100004737,pentobarbital,4737,2267.0,Pentobarbital
CID100004740,pentoxifylline,4740,2271.0,Pentoxifylline
CID100004746,perhexiline,4746,2278.0,Perhexiline
CID100004747,propericiazine,4747,2279.0,Periciazine
CID100004748,perphenazine,4748,2285.0,Perphenazine
CID100004756,phenylazo,4756,2292.0,Phenazopyridine
CID100004763,phenobarbital,4763,2308.0,Phenobarbital
CID100004768,phenoxybenzamine,4768,2313.0,Phenoxybenzamine
CID100004771,phentermine,4771,2320.0,Phentermine
CID100004775,4-PBA,4775,2325.0,Phenylbutyric acid
CID100004810,moxonidine,4810,2003.0,Moxonidine
CID100004828,pindolol,4828,2349.0,Pindolol
CID100004829,pioglitazone,4829,2351.0,Pioglitazone
CID100004845,pirbuterol,4845,2365.0,Pirbuterol
CID100004893,prazosin,4893,2424.0,Prazosin
CID100004906,prilocaine,4906,2442.0,Prilocaine
CID100004908,primaquine,4908,2443.0,Primaquine
CID100004909,primidone,4909,2444.0,Primidone
CID100004911,probenecid,4911,2445.0,Probenecid
CID100004913,procainamide,4913,2447.0,Procainamide
CID100004914,procaine,4914,2448.0,Procaine
CID100004915,procarbazine,4915,2449.0,Procarbazine
CID100004917,prochlorperazine,4917,2451.0,Prochlorperazine
CID100004927,promethazine,4927,2460.0,Promethazine
CID100004934,propantheline,4934,2463.0,Propantheline
CID100004935,proparacaine,4935,2464.0,Proparacaine
CID100004943,propofol,4943,2472.0,Propofol
CID100004976,protriptyline,4976,2487.0,Protriptyline
CID100004991,pyridostigmine,4991,2498.0,Pyridostigmine
CID100004992,mepyramine,4992,1859.0,Mepyramine
CID100004993,pyrimethamine,4993,2499.0,Pyrimethamine
CID100004999,quazepam,4999,2502.0,Quazepam
CID100005002,quetiapine,5002,2504.0,Quetiapine
CID100005035,raloxifene,5035,2525.0,Raloxifene
CID100005070,riluzole,5070,2579.0,Riluzole
CID100005073,risperidone,5073,2588.0,Risperidone
CID100005078,rizatriptan,5078,2598.0,Rizatriptan
CID100005090,rofecoxib,5090,2604.0,Rofecoxib
CID100005095,ropinirole,5095,2613.0,Ropinirole
CID100005152,salmeterol,5152,2638.0,Salmeterol
CID100005161,salsalate,5161,2639.0,Salsalate
CID100005193,secobarbital,5193,2653.0,Secobarbital
CID100005206,sevoflurane,5206,2678.0,Sevoflurane
CID100005210,sibutramine,5210,2679.0,Sibutramine
CID100005245,risedronate,5245,2587.0,Risedronic acid
CID100005253,sotalol,5253,2710.0,Sotalol
CID100005291,imatinib,5291,1572.0,Imatinib
CID100005311,vorinostat,5311,3118.0,Vorinostat
CID100005314,succinylcholine,5314,2735.0,Succinylcholine
CID100005318,sulconazole,5318,2742.0,Sulconazole
CID100005320,sulfacetamide,5320,2743.0,Sulfacetamide
