STITCH_ID,SIDER_DrugName,CandidateDrugID,CandidateDrugName,Similarity,ChEBI_ID,CID,ConnectivitySMILES
CID100061799,monomethylfumarate,1988,Monomethyl fumarate,0.973,CHEBI:167450,5369209.0,COC(=O)C=CC(=O)O
CID100002019,actinomycin,838,Dactinomycin,0.9565,CHEBI:27666,457193.0,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
CID100002344,benztropine,387,Benzatropine,0.9565,CHEBI:3048,1201549.0,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
CID100000581,N-acetylcysteine,115,Acetylcysteine,0.9333,CHEBI:28939,12035.0,CC(=O)NC(CS)C(=O)O
CID100004727,D-penicillamine,2258,Penicillamine,0.9286,CHEBI:7959,5852.0,CC(C)(C(C(=O)O)N)S
CID100001972,amphotericin,236,Amphotericin B,0.9231,CHEBI:2682,5280965.0,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
CID100002375,bicalutamide,11,(R)-Bicalutamide,0.9231,CHEBI:39589,56069.0,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
CID100003394,flurbiprofen,1162,Esflurbiprofen,0.9231,CHEBI:42446,72099.0,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
CID100004891,praziquantel,14,(R)-Praziquantel,0.9231,,445900.0,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
CID100005300,streptozotocin,2731,Streptozocin,0.9231,CHEBI:9288,29327.0,CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O
CID100005408,testosterone,26,1-Testosterone,0.9231,CHEBI:59714,236666.0,CC12CCC3C(C1CCC2O)CCC4C3(C=CC(=O)C4)C
CID100005409,testosterone,26,1-Testosterone,0.9231,CHEBI:59714,236666.0,CC12CCC3C(C1CCC2O)CCC4C3(C=CC(=O)C4)C
CID100005410,testosterone,26,1-Testosterone,0.9231,CHEBI:59714,236666.0,CC12CCC3C(C1CCC2O)CCC4C3(C=CC(=O)C4)C
CID100012453,zuclopenthixol,759,Clopenthixol,0.9231,,12454.0,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
CID100000401,D-cycloserine,815,Cycloserine,0.9167,CHEBI:40009,6234.0,C1C(C(=O)NO1)N
CID100004205,mirtazapine,1165,Esmirtazapine,0.9167,,3085218.0,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
CID100004932,propafenone,15,(R)-Propafenone,0.9167,,184819.0,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
CID100003008,dextromethorphan,911,Deudextromethorphan,0.9143,,25052519.0,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC
CID100002522,calcipotriol,531,Calcitriol,0.9091,CHEBI:17823,5280453.0,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
CID100003386,fluoxetine,12,(R)-Fluoxetine,0.9091,CHEBI:86991,1548970.0,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
CID100003410,formoterol,280,Arformoterol,0.9091,CHEBI:408174,3083544.0,CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O
CID100003702,indapamide,19,(S)-Indapamide,0.9091,,12598931.0,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
CID100004046,mefloquine,0,(+)-Mefloquine,0.9091,CHEBI:63684,456309.0,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
CID100004158,methylphenidate,928,Dexmethylphenidate,0.9091,CHEBI:51860,154101.0,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
CID100004594,omeprazole,1167,Esomeprazole,0.9091,CHEBI:50275,9568614.0,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
CID100003198,econazole,20,(S)-econazole,0.9,CHEBI:82872,12773795.0,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
CID100004048,megestrol,2107,Nomegestrol,0.9,CHEBI:135993,68783.0,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4C1=CC(=O)CC4
CID100004236,modafinil,285,Armodafinil,0.9,CHEBI:77590,9690109.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
CID100004583,ofloxacin,2118,Norfloxacin,0.9,CHEBI:100246,4539.0,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
CID100005735,zopiclone,1181,Eszopiclone,0.9,CHEBI:53760,969472.0,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl
CID100019090,megestrol,2107,Nomegestrol,0.9,CHEBI:135993,68783.0,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4C1=CC(=O)CC4
CID100000160,prostaglandin,2478,Prostaglandin B2,0.8966,CHEBI:28099,5280881.0,CCCCCC(C=CC1=C(C(=O)CC1)CC=CCCCC(=O)O)O
CID100000160,prostaglandin,2479,Prostaglandin D2,0.8966,CHEBI:15555,448457.0,CCCCCC(C=CC1C(C(CC1=O)O)CC=CCCCC(=O)O)O
