STITCH_ID,SIDER_DrugName,MatchType,Confidence,CandidateDrugID,CandidateDrugName,Similarity
CID100000298,chloramphenicol,EXACT_NORMALIZED,HIGH,664,Chloramphenicol,1.0
CID100000450,estradiol,EXACT_NORMALIZED,HIGH,1171,Estradiol,1.0
CID100000596,cytarabine,EXACT_NORMALIZED,HIGH,823,Cytarabine,1.0
CID100000698,estrone,EXACT_NORMALIZED,HIGH,1179,Estrone,1.0
CID100000815,kanamycin,EXACT_NORMALIZED,HIGH,1655,Kanamycin,1.0
CID100000838,epinephrine,EXACT_NORMALIZED,HIGH,1137,Epinephrine,1.0
CID100000942,nicotine,EXACT_NORMALIZED,HIGH,2073,Nicotine,1.0
CID100000951,norepinephrine,EXACT_NORMALIZED,HIGH,2113,Norepinephrine,1.0
CID100001065,quinidine,EXACT_NORMALIZED,HIGH,2514,Quinidine,1.0
CID100001301,naproxen,EXACT_NORMALIZED,HIGH,2040,Naproxen,1.0
CID100001546,cladribine,EXACT_NORMALIZED,HIGH,728,Cladribine,1.0
CID100001690,doxorubicin,EXACT_NORMALIZED,HIGH,1046,Doxorubicin,1.0
CID100001798,methazolamide,EXACT_NORMALIZED,HIGH,1887,Methazolamide,1.0
CID100001875,methylprednisolone,EXACT_NORMALIZED,HIGH,1915,Methylprednisolone,1.0
CID100001971,abacavir,EXACT_NORMALIZED,HIGH,88,Abacavir,1.0
CID100002021,spectinomycin,EXACT_NORMALIZED,HIGH,2716,Spectinomycin,1.0
CID100002022,acyclovir,EXACT_NORMALIZED,HIGH,127,Acyclovir,1.0
CID100002094,allopurinol,EXACT_NORMALIZED,HIGH,168,Allopurinol,1.0
CID100002133,amcinonide,EXACT_NORMALIZED,HIGH,201,Amcinonide,1.0
CID100002142,amikacin,EXACT_NORMALIZED,HIGH,207,Amikacin,1.0
CID100002156,amiodarone,EXACT_NORMALIZED,HIGH,218,Amiodarone,1.0
CID100002163,amobarbital,EXACT_NORMALIZED,HIGH,229,Amobarbital,1.0
CID100002171,amoxicillin,EXACT_NORMALIZED,HIGH,233,Amoxicillin,1.0
CID100002173,ampicillin,EXACT_NORMALIZED,HIGH,237,Ampicillin,1.0
CID100002177,amprenavir,EXACT_NORMALIZED,HIGH,238,Amprenavir,1.0
CID100002182,anagrelide,EXACT_NORMALIZED,HIGH,244,Anagrelide,1.0
CID100002215,apomorphine,EXACT_NORMALIZED,HIGH,263,Apomorphine,1.0
CID100002232,argatroban,EXACT_NORMALIZED,HIGH,281,Argatroban,1.0
CID100002250,atorvastatin,EXACT_NORMALIZED,HIGH,311,Atorvastatin,1.0
CID100002269,azithromycin,EXACT_NORMALIZED,HIGH,341,Azithromycin,1.0
CID100002274,aztreonam,EXACT_NORMALIZED,HIGH,344,Aztreonam,1.0
CID100002311,benazepril,EXACT_NORMALIZED,HIGH,373,Benazepril,1.0
CID100002341,benzphetamine,EXACT_NORMALIZED,HIGH,398,Benzphetamine,1.0
CID100002350,bepotastine,EXACT_NORMALIZED,HIGH,406,Bepotastine,1.0
CID100002443,bromocriptine,EXACT_NORMALIZED,HIGH,479,Bromocriptine,1.0
CID100002462,budesonide,EXACT_NORMALIZED,HIGH,489,Budesonide,1.0
CID100002476,buprenorphine,EXACT_NORMALIZED,HIGH,502,Buprenorphine,1.0
CID100002487,butorphanol,EXACT_NORMALIZED,HIGH,515,Butorphanol,1.0
CID100002512,cabergoline,EXACT_NORMALIZED,HIGH,524,Cabergoline,1.0
CID100002547,capreomycin,EXACT_NORMALIZED,HIGH,559,Capreomycin,1.0
CID100002548,capsaicin,EXACT_NORMALIZED,HIGH,561,Capsaicin,1.0
CID100002550,captopril,EXACT_NORMALIZED,HIGH,563,Captopril,1.0
CID100002559,carbenicillin,EXACT_NORMALIZED,HIGH,566,Carbenicillin,1.0
CID100002563,carbidopa,EXACT_NORMALIZED,HIGH,568,Carbidopa,1.0
CID100002609,cefaclor,EXACT_NORMALIZED,HIGH,600,Cefaclor,1.0
CID100002610,cefadroxil,EXACT_NORMALIZED,HIGH,601,Cefadroxil,1.0
CID100002617,cefazolin,EXACT_NORMALIZED,HIGH,609,Cefazolin,1.0
CID100002622,cefepime,EXACT_NORMALIZED,HIGH,614,Cefepime,1.0
CID100002631,cefotaxime,EXACT_NORMALIZED,HIGH,624,Cefotaxime,1.0
CID100002637,cefoxitin,EXACT_NORMALIZED,HIGH,627,Cefoxitin,1.0
CID100002646,cefprozil,EXACT_NORMALIZED,HIGH,632,Cefprozil,1.0
CID100002650,ceftazidime,EXACT_NORMALIZED,HIGH,637,Ceftazidime,1.0
CID100002655,ceftizoxime,EXACT_NORMALIZED,HIGH,641,Ceftizoxime,1.0
CID100002656,ceftriaxone,EXACT_NORMALIZED,HIGH,645,Ceftriaxone,1.0
CID100002658,cefuroxime,EXACT_NORMALIZED,HIGH,646,Cefuroxime,1.0
CID100002666,cephalexin,EXACT_NORMALIZED,HIGH,650,Cephalexin,1.0
CID100002675,cefixime,EXACT_NORMALIZED,HIGH,616,Cefixime,1.0
CID100002676,cerivastatin,EXACT_NORMALIZED,HIGH,657,Cerivastatin,1.0
CID100002684,cevimeline,EXACT_NORMALIZED,HIGH,661,Cevimeline,1.0
CID100002751,cilazapril,EXACT_NORMALIZED,HIGH,706,Cilazapril,1.0
CID100002781,clemastine,EXACT_NORMALIZED,HIGH,731,Clemastine,1.0
CID100002786,clindamycin,EXACT_NORMALIZED,HIGH,736,Clindamycin,1.0
CID100002791,clobetasol,EXACT_NORMALIZED,HIGH,738,Clobetasol,1.0
CID100002792,clobetasone,EXACT_NORMALIZED,HIGH,740,Clobetasone,1.0
CID100002806,clopidogrel,EXACT_NORMALIZED,HIGH,760,Clopidogrel,1.0
CID100002818,clozapine,EXACT_NORMALIZED,HIGH,777,Clozapine,1.0
CID100002826,cocaine,EXACT_NORMALIZED,HIGH,780,Cocaine,1.0
CID100002828,codeine,EXACT_NORMALIZED,HIGH,781,Codeine,1.0
CID100002833,colchicine,EXACT_NORMALIZED,HIGH,782,Colchicine,1.0
CID100002891,cyanocobalamin,EXACT_NORMALIZED,HIGH,801,Cyanocobalamin,1.0
CID100002949,danazol,EXACT_NORMALIZED,HIGH,844,Danazol,1.0
CID100002951,dantrolene,EXACT_NORMALIZED,HIGH,847,Dantrolene,1.0
CID100003000,desoximetasone,EXACT_NORMALIZED,HIGH,905,Desoximetasone,1.0
CID100003032,diclofenac,EXACT_NORMALIZED,HIGH,955,Diclofenac,1.0
CID100003040,dicloxacillin,EXACT_NORMALIZED,HIGH,957,Dicloxacillin,1.0
CID100003043,didanosine,EXACT_NORMALIZED,HIGH,960,Didanosine,1.0
CID100003056,diflorasone,EXACT_NORMALIZED,HIGH,972,Diflorasone,1.0
CID100003062,digoxin,EXACT_NORMALIZED,HIGH,978,Digoxin,1.0
CID100003063,dihydrocodeine,EXACT_NORMALIZED,HIGH,984,Dihydrocodeine,1.0
CID100003066,dihydroergotamine,EXACT_NORMALIZED,HIGH,987,Dihydroergotamine,1.0
CID100003075,diltiazem,EXACT_NORMALIZED,HIGH,992,Diltiazem,1.0
CID100003143,docetaxel,EXACT_NORMALIZED,HIGH,1021,Docetaxel,1.0
CID100003148,dolasetron,EXACT_NORMALIZED,HIGH,1025,Dolasetron,1.0
CID100003154,dorzolamide,EXACT_NORMALIZED,HIGH,1035,Dorzolamide,1.0
CID100003199,trabectedin,EXACT_NORMALIZED,HIGH,2965,Trabectedin,1.0
CID100003203,efavirenz,EXACT_NORMALIZED,HIGH,1078,Efavirenz,1.0
CID100003251,ergotamine,EXACT_NORMALIZED,HIGH,1154,Ergotamine,1.0
CID100003255,erythromycin,EXACT_NORMALIZED,HIGH,1160,Erythromycin,1.0
CID100003263,estradiol,EXACT_NORMALIZED,HIGH,1171,Estradiol,1.0
CID100003267,estradiol,EXACT_NORMALIZED,HIGH,1171,Estradiol,1.0
CID100003268,estramustine,EXACT_NORMALIZED,HIGH,1177,Estramustine,1.0
CID100003279,ethambutol,EXACT_NORMALIZED,HIGH,1188,Ethambutol,1.0
CID100003310,etoposide,EXACT_NORMALIZED,HIGH,1216,Etoposide,1.0
CID100003325,famotidine,EXACT_NORMALIZED,HIGH,1233,Famotidine,1.0
CID100003340,fenoldopam,EXACT_NORMALIZED,HIGH,1254,Fenoldopam,1.0
CID100003350,finasteride,EXACT_NORMALIZED,HIGH,1287,Finasteride,1.0
CID100003355,flecainide,EXACT_NORMALIZED,HIGH,1292,Flecainide,1.0
CID100003364,flucloxacillin,EXACT_NORMALIZED,HIGH,1304,Flucloxacillin,1.0
CID100003370,fludrocortisone,EXACT_NORMALIZED,HIGH,1309,Fludrocortisone,1.0
CID100003379,flunisolide,EXACT_NORMALIZED,HIGH,1315,Flunisolide,1.0
CID100003382,fluocinonide,EXACT_NORMALIZED,HIGH,1320,Fluocinonide,1.0
CID100003384,fluorometholone,EXACT_NORMALIZED,HIGH,1327,Fluorometholone,1.0
CID100003387,fluoxymesterone,EXACT_NORMALIZED,HIGH,1329,Fluoxymesterone,1.0
CID100003388,fluphenazine,EXACT_NORMALIZED,HIGH,1332,Fluphenazine,1.0
CID100003399,fluticasone,EXACT_NORMALIZED,HIGH,1344,Fluticasone,1.0
CID100003403,fluvastatin,EXACT_NORMALIZED,HIGH,1347,Fluvastatin,1.0
CID100003404,fluvoxamine,EXACT_NORMALIZED,HIGH,1348,Fluvoxamine,1.0
CID100003414,foscarnet,EXACT_NORMALIZED,HIGH,1362,Foscarnet,1.0
CID100003417,fosfomycin,EXACT_NORMALIZED,HIGH,1363,Fosfomycin,1.0
CID100003419,fosinopril,EXACT_NORMALIZED,HIGH,1365,Fosinopril,1.0
CID100003425,Romidepsin,EXACT_NORMALIZED,HIGH,2610,Romidepsin,1.0
CID100003449,galantamine,EXACT_NORMALIZED,HIGH,1406,Galantamine,1.0
CID100003454,ganciclovir,EXACT_NORMALIZED,HIGH,1413,Ganciclovir,1.0
CID100003461,gemcitabine,EXACT_NORMALIZED,HIGH,1422,Gemcitabine,1.0
CID100003510,granisetron,EXACT_NORMALIZED,HIGH,1465,Granisetron,1.0
CID100003512,griseofulvin,EXACT_NORMALIZED,HIGH,1469,Griseofulvin,1.0
CID100003553,halcinonide,EXACT_NORMALIZED,HIGH,1485,Halcinonide,1.0
CID100003623,homatropine,EXACT_NORMALIZED,HIGH,1508,Homatropine,1.0
CID100003642,hydrocortisone,EXACT_NORMALIZED,HIGH,1516,Hydrocortisone,1.0
CID100003648,hydromorphone,EXACT_NORMALIZED,HIGH,1529,Hydromorphone,1.0
CID100003661,atropine,EXACT_NORMALIZED,HIGH,316,Atropine,1.0
CID100003685,idarubicin,EXACT_NORMALIZED,HIGH,1558,Idarubicin,1.0
CID100003706,indinavir,EXACT_NORMALIZED,HIGH,1586,Indinavir,1.0
CID100003746,ipratropium,EXACT_NORMALIZED,HIGH,1611,Ipratropium,1.0
CID100003750,irinotecan,EXACT_NORMALIZED,HIGH,1618,Irinotecan,1.0
CID100003780,isosorbide,EXACT_NORMALIZED,HIGH,1635,Isosorbide,1.0
CID100003783,isoxsuprine,EXACT_NORMALIZED,HIGH,1641,Isoxsuprine,1.0
CID100003793,itraconazole,EXACT_NORMALIZED,HIGH,1644,Itraconazole,1.0
CID100003823,ketoconazole,EXACT_NORMALIZED,HIGH,1661,Ketoconazole,1.0
CID100003872,lactulose,EXACT_NORMALIZED,HIGH,1671,Lactulose,1.0
CID100003877,lamivudine,EXACT_NORMALIZED,HIGH,1673,Lamivudine,1.0
CID100003890,latanoprost,EXACT_NORMALIZED,HIGH,1686,Latanoprost,1.0
CID100003914,levobunolol,EXACT_NORMALIZED,HIGH,1707,Levobunolol,1.0
CID100003915,levocabastine,EXACT_NORMALIZED,HIGH,1708,Levocabastine,1.0
CID100003918,dextrorphan,EXACT_NORMALIZED,HIGH,940,Dextrorphan,1.0
CID100003928,lincomycin,EXACT_NORMALIZED,HIGH,1725,Lincomycin,1.0
CID100003929,linezolid,EXACT_NORMALIZED,HIGH,1726,Linezolid,1.0
CID100003937,Lisinopril,EXACT_NORMALIZED,HIGH,1732,Lisinopril,1.0
CID100003938,lisuride,EXACT_NORMALIZED,HIGH,1734,Lisuride,1.0
CID100003954,loperamide,EXACT_NORMALIZED,HIGH,1751,Loperamide,1.0
CID100003962,lovastatin,EXACT_NORMALIZED,HIGH,1766,Lovastatin,1.0
CID100004043,medrysone,EXACT_NORMALIZED,HIGH,1830,Medrysone,1.0
CID100004051,meloxicam,EXACT_NORMALIZED,HIGH,1841,Meloxicam,1.0
CID100004053,melphalan,EXACT_NORMALIZED,HIGH,1843,Melphalan,1.0
CID100004112,methotrexate,EXACT_NORMALIZED,HIGH,1894,Methotrexate,1.0
CID100004138,methyldopa,EXACT_NORMALIZED,HIGH,1905,Methyldopa,1.0
CID100004140,methylergometrine,EXACT_NORMALIZED,HIGH,1909,Methylergometrine,1.0
CID100004159,methylprednisolone,EXACT_NORMALIZED,HIGH,1915,Methylprednisolone,1.0
CID100004160,methyltestosterone,EXACT_NORMALIZED,HIGH,1921,Methyltestosterone,1.0
CID100004163,methysergide,EXACT_NORMALIZED,HIGH,1924,Methysergide,1.0
CID100004196,mifepristone,EXACT_NORMALIZED,HIGH,1954,Mifepristone,1.0
CID100004240,mometasone,EXACT_NORMALIZED,HIGH,1984,Mometasone,1.0
CID100004248,montelukast,EXACT_NORMALIZED,HIGH,1989,Montelukast,1.0
CID100004253,morphine,EXACT_NORMALIZED,HIGH,1994,Morphine,1.0
CID100004259,moxifloxacin,EXACT_NORMALIZED,HIGH,2001,Moxifloxacin,1.0
CID100004264,mupirocin,EXACT_NORMALIZED,HIGH,2004,Mupirocin,1.0
CID100004411,nadolol,EXACT_NORMALIZED,HIGH,2019,Nadolol,1.0
CID100004419,nalbuphine,EXACT_NORMALIZED,HIGH,2025,Nalbuphine,1.0
CID100004422,nalmefene,EXACT_NORMALIZED,HIGH,2028,Nalmefene,1.0
CID100004425,naloxone,EXACT_NORMALIZED,HIGH,2031,Naloxone,1.0
CID100004428,naltrexone,EXACT_NORMALIZED,HIGH,2032,Naltrexone,1.0
CID100004432,nandrolone,EXACT_NORMALIZED,HIGH,2036,Nandrolone,1.0
CID100004443,nateglinide,EXACT_NORMALIZED,HIGH,2046,Nateglinide,1.0
CID100004451,nelfinavir,EXACT_NORMALIZED,HIGH,2055,Nelfinavir,1.0
CID100004473,nicardipine,EXACT_NORMALIZED,HIGH,2068,Nicardipine,1.0
CID100004509,nitrofurantoin,EXACT_NORMALIZED,HIGH,2099,Nitrofurantoin,1.0
CID100004536,norethisterone,EXACT_NORMALIZED,HIGH,2115,Norethisterone,1.0
CID100004542,levonorgestrel,EXACT_NORMALIZED,HIGH,1713,Levonorgestrel,1.0
CID100004547,repaglinide,EXACT_NORMALIZED,HIGH,2551,Repaglinide,1.0
CID100004568,nystatin,EXACT_NORMALIZED,HIGH,2126,Nystatin,1.0
CID100004585,olanzapine,EXACT_NORMALIZED,HIGH,2138,Olanzapine,1.0
CID100004599,orlistat,EXACT_NORMALIZED,HIGH,2164,Orlistat,1.0
CID100004603,oseltamivir,EXACT_NORMALIZED,HIGH,2170,Oseltamivir,1.0
CID100004607,oxacillin,EXACT_NORMALIZED,HIGH,2179,Oxacillin,1.0
CID100004635,oxycodone,EXACT_NORMALIZED,HIGH,2199,Oxycodone,1.0
CID100004638,oxymetholone,EXACT_NORMALIZED,HIGH,2202,Oxymetholone,1.0
CID100004639,oxymorphone,EXACT_NORMALIZED,HIGH,2203,Oxymorphone,1.0
CID100004666,paclitaxel,EXACT_NORMALIZED,HIGH,2215,Paclitaxel,1.0
CID100004675,pancuronium,EXACT_NORMALIZED,HIGH,2226,Pancuronium,1.0
CID100004678,dexpanthenol,EXACT_NORMALIZED,HIGH,930,Dexpanthenol,1.0
CID100004689,paromomycin,EXACT_NORMALIZED,HIGH,2239,Paromomycin,1.0
CID100004691,paroxetine,EXACT_NORMALIZED,HIGH,2240,Paroxetine,1.0
CID100004724,penbutolol,EXACT_NORMALIZED,HIGH,2254,Penbutolol,1.0
CID100004725,penciclovir,EXACT_NORMALIZED,HIGH,2255,Penciclovir,1.0
CID100004736,pentazocine,EXACT_NORMALIZED,HIGH,2264,Pentazocine,1.0
CID100004739,pentostatin,EXACT_NORMALIZED,HIGH,2270,Pentostatin,1.0
CID100004745,pergolide,EXACT_NORMALIZED,HIGH,2277,Pergolide,1.0
CID100004782,phenylephrine,EXACT_NORMALIZED,HIGH,2326,Phenylephrine,1.0
CID100004811,physostigmine,EXACT_NORMALIZED,HIGH,2333,Physostigmine,1.0
CID100004819,pilocarpine,EXACT_NORMALIZED,HIGH,2341,Pilocarpine,1.0
CID100004834,piperacillin,EXACT_NORMALIZED,HIGH,2356,Piperacillin,1.0
CID100004870,polythiazide,EXACT_NORMALIZED,HIGH,2397,Polythiazide,1.0
CID100004889,pravastatin,EXACT_NORMALIZED,HIGH,2422,Pravastatin,1.0
CID100004894,prednisolone,EXACT_NORMALIZED,HIGH,2427,Prednisolone,1.0
CID100004895,prednisolone,EXACT_NORMALIZED,HIGH,2427,Prednisolone,1.0
CID100004896,prednisolone,EXACT_NORMALIZED,HIGH,2427,Prednisolone,1.0
CID100004900,prednisone,EXACT_NORMALIZED,HIGH,2431,Prednisone,1.0
CID100004920,progesterone,EXACT_NORMALIZED,HIGH,2455,Progesterone,1.0
CID100004923,proguanil,EXACT_NORMALIZED,HIGH,2457,Proguanil,1.0
CID100004989,pyrantel,EXACT_NORMALIZED,HIGH,2495,Pyrantel,1.0
CID100005005,quinapril,EXACT_NORMALIZED,HIGH,2508,Quinapril,1.0
CID100005032,ephedrine,EXACT_NORMALIZED,HIGH,1131,Ephedrine,1.0
CID100005038,ramipril,EXACT_NORMALIZED,HIGH,2530,Ramipril,1.0
CID100005039,ranitidine,EXACT_NORMALIZED,HIGH,2533,Ranitidine,1.0
CID100005051,rescinnamine,EXACT_NORMALIZED,HIGH,2556,Rescinnamine,1.0
CID100005052,reserpine,EXACT_NORMALIZED,HIGH,2557,Reserpine,1.0
CID100005076,ritonavir,EXACT_NORMALIZED,HIGH,2593,Ritonavir,1.0
CID100005077,rivastigmine,EXACT_NORMALIZED,HIGH,2595,Rivastigmine,1.0
CID100005106,roxithromycin,EXACT_NORMALIZED,HIGH,2623,Roxithromycin,1.0
CID100005155,stavudine,EXACT_NORMALIZED,HIGH,2726,Stavudine,1.0
CID100005184,scopolamine,EXACT_NORMALIZED,HIGH,2652,Scopolamine,1.0
CID100005203,sertraline,EXACT_NORMALIZED,HIGH,2674,Sertraline,1.0
CID100005212,sildenafil,EXACT_NORMALIZED,HIGH,2680,Sildenafil,1.0
CID100005257,sparfloxacin,EXACT_NORMALIZED,HIGH,2712,Sparfloxacin,1.0
CID100005267,spironolactone,EXACT_NORMALIZED,HIGH,2722,Spironolactone,1.0
CID100005297,streptomycin,EXACT_NORMALIZED,HIGH,2730,Streptomycin,1.0
CID100005352,sulindac,EXACT_NORMALIZED,HIGH,2772,Sulindac,1.0
CID100005372,tacrolimus,EXACT_NORMALIZED,HIGH,2787,Tacrolimus,1.0
CID100005376,tamoxifen,EXACT_NORMALIZED,HIGH,2800,Tamoxifen,1.0
CID100005396,teniposide,EXACT_NORMALIZED,HIGH,2844,Teniposide,1.0
CID100005402,terbinafine,EXACT_NORMALIZED,HIGH,2852,Terbinafine,1.0
CID100005407,testolactone,EXACT_NORMALIZED,HIGH,2861,Testolactone,1.0
CID100005454,thiothixene,EXACT_NORMALIZED,HIGH,2901,Thiothixene,1.0
CID100005466,tiagabine,EXACT_NORMALIZED,HIGH,2904,Tiagabine,1.0
CID100005470,tibolone,EXACT_NORMALIZED,HIGH,2909,Tibolone,1.0
CID100005478,timolol,EXACT_NORMALIZED,HIGH,2921,Timolol,1.0
CID100005486,tirofiban,EXACT_NORMALIZED,HIGH,2935,Tirofiban,1.0
CID100005496,tobramycin,EXACT_NORMALIZED,HIGH,2940,Tobramycin,1.0
CID100005508,tolmetin,EXACT_NORMALIZED,HIGH,2952,Tolmetin,1.0
CID100005512,tolterodine,EXACT_NORMALIZED,HIGH,2956,Tolterodine,1.0
CID100005514,topiramate,EXACT_NORMALIZED,HIGH,2958,Topiramate,1.0
CID100005515,topotecan,EXACT_NORMALIZED,HIGH,2960,Topotecan,1.0
CID100005516,toremifene,EXACT_NORMALIZED,HIGH,2962,Toremifene,1.0
CID100005523,tramadol,EXACT_NORMALIZED,HIGH,2966,Tramadol,1.0
CID100005525,trandolapril,EXACT_NORMALIZED,HIGH,2970,Trandolapril,1.0
CID100005544,triamcinolone,EXACT_NORMALIZED,HIGH,2985,Triamcinolone,1.0
CID100005582,trimetrexate,EXACT_NORMALIZED,HIGH,3010,Trimetrexate,1.0
CID100005595,tropisetron,EXACT_NORMALIZED,HIGH,3025,Tropisetron,1.0
