DrugName,RepresentationType,CID,ConnectivitySMILES,MolecularWeight,SubstanceRecordAvailable,Status
Sucralfate,Unknown,,,,False,No PubChem record found
Iron polymaltose,Unknown,,,,False,No PubChem record found
Iron sucrose,Unknown,,,,False,No PubChem record found
Hydrolyzed Cephalothin,Unknown,,,,False,No PubChem record found
Colistimethate,Unknown,,,,False,No PubChem record found
Nitroprusside,Unknown,,,,False,No PubChem record found
Pentosan polysulfate,Unknown,,,,False,No PubChem record found
Gleptoferron,Unknown,,,,False,No PubChem record found
Polythiazide,Unknown,,,,False,No PubChem record found
Benzylpenicilloyl polylysine,Unknown,,,,False,No PubChem record found
Ivermectin,Unknown,,,,False,No PubChem record found
Kitasamycin,Unknown,,,,False,No PubChem record found
Radium Ra-223 cation,Unknown,,,,False,No PubChem record found
Sevelamer,Unknown,,,,False,No PubChem record found
Octylphenoxy polyethoxyethanol,Unknown,,,,False,No PubChem record found
Kaolin,Unknown,,,,False,No PubChem record found
"1,6-Fructose Diphosphate (Linear Form)",Unknown,,,,False,No PubChem record found
Dihematoporphyrin ether,Unknown,,,,False,No PubChem record found
Cephalosporin analog,Unknown,,,,False,No PubChem record found
