DrugName,OriginalReason,Status
Sucralfate,404,Unresolved
Iron polymaltose,404,Unresolved
Iron sucrose,404,Unresolved
Hydrolyzed Cephalothin,404,Unresolved
Colistimethate,404,Unresolved
Nitroprusside,404,Unresolved
Pentosan polysulfate,404,Unresolved
Gleptoferron,404,Unresolved
Polythiazide,404,Unresolved
Benzylpenicilloyl polylysine,404,Unresolved
Ivermectin,404,Unresolved
Kitasamycin,404,Unresolved
Radium Ra-223 cation,404,Unresolved
Sevelamer,404,Unresolved
Octylphenoxy polyethoxyethanol,404,Unresolved
Kaolin,404,Unresolved
"1,6-Fructose Diphosphate (Linear Form)",404,Unresolved
Dihematoporphyrin ether,404,Unresolved
Cephalosporin analog,404,Unresolved
