# Data version: Dec-2023
# DGIdb version: v.5.0.11
gene_claim_name	gene_category_name	source_db_name	source_db_version
CASP7	PROTEASE	dGene	27-Jun-2013
CASP8	PROTEASE	dGene	27-Jun-2013
CASP9	PROTEASE	dGene	27-Jun-2013
CELA2A	PROTEASE	dGene	27-Jun-2013
CELA2B	PROTEASE	dGene	27-Jun-2013
CELA3A	PROTEASE	dGene	27-Jun-2013
NGFIBA	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
NGFIBB	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
DAX	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
REV-ERBA	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
COUP2	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
NGFIBG	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
PTX3	DRUGGABLE GENOME	HingoraniCasas	31-May-2017
COUP1	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
REV-ERBB	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
COUP3	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
HS3ST6	ENZYME	Pharos	15-June-2026
HGSNAT	ENZYME	Pharos	15-June-2026
TLX	NUCLEAR HORMONE RECEPTOR	BaderLab	February 2014
IUPHAR.RECEPTOR:174	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:3	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:4	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:5	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:6	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:8	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:9	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:10	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:648	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:12	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:13	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:14	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:15	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:17	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:18	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:19	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:21	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:197	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:198	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:199	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:176	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:178	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:179	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:180	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:204	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:182	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:183	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:185	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:177	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:190	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:193	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:196	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:186	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:187	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:192	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:194	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:200	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:206	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:207	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:208	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:83	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:84	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:189	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:23	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:24	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:25	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:26	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:28	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:29	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:30	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:35	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:36	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
IUPHAR.RECEPTOR:37	G PROTEIN COUPLED RECEPTOR	GuideToPharmacology	2026.2
