atc_bin,ror95_bin,ptcov_bin,n
A,0,0,8313
A,3,0,144
A,3,1,120
A,3,2,57
A,3,3,60
B,0,0,2075
B,3,0,14
B,3,1,14
B,3,2,2
B,3,3,7
C,0,0,10457
C,3,0,86
C,3,1,55
C,3,2,22
C,3,3,14
D,0,0,1999
D,3,0,28
D,3,1,20
D,3,2,3
D,3,3,5
G,0,0,2841
G,3,0,19
G,3,1,9
G,3,2,4
G,3,3,1
H,0,0,645
H,3,0,3
H,3,1,2
J,0,0,4188
J,3,0,19
J,3,1,13
J,3,2,4
J,3,3,1
L,0,0,3728
L,3,0,11
L,3,1,2
L,3,2,1
L,3,3,3
M,0,0,2621
M,3,0,12
M,3,1,8
M,3,2,4
M,3,3,3
N,0,0,9238
N,3,0,42
N,3,1,35
N,3,2,12
N,3,3,8
P,0,0,238
P,3,1,1
P,3,3,1
R,0,0,809
R,3,2,1
R,3,3,1
S,0,0,62
U,0,0,1694
U,3,0,2
V,0,0,219
